,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Monaco,0.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,164.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Peru,0.0,0.0,1.0,34.0,2.0,2.0,16.0,0.0,6.0,3.0,12.0,8.0,4.0,5.0,0.0,57.0,0.0,2249.0,78.0,0.0,1.0,21.0,266.0,9.0,0.0,20.0,0.0,8.0,1.0,0.0,1.0,2.0,8.0,2.0,0.0,2.0,2.0,10.0,8.0,1.0,0.0,9.0,1.0,0.0,49.0,57.0,10.0,4.0,26.0,3.0,2.0,0.0,88.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,0.0,4.0,0.0,5.0,19.0,0.0,59.0,9.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,5.0,40.0,17.0,0.0,28.0,4.0,2.0,0.0,37.0,16.0,6.0,58.0,9.0,0.0,4.0,2.0,0.0,2.0,0.0,104.0,2.0,91.0,5.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,59.0,0.0,4.0,14.0,1.0,0.0,0.0,5.0,53.0
Pakistan,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,1.0,191.0,0.0,15.0,16.0,539.0,1.0,0.0,4.0,1.0,108.0,7.0,0.0,46.0,1.0,19.0,2.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,22.0,18.0,1.0,2.0,3.0,0.0,0.0,9.0,30.0,30.0,1.0,9.0,5.0,0.0,0.0,47.0,1.0,0.0,1.0,0.0,11.0,16.0,0.0,0.0,0.0,1.0,0.0,4.0,32.0,0.0,48.0,5.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,4.0,6.0,569.0,3.0,6.0,18.0,1.0,0.0,10.0,5.0,10.0,9.0,16.0,0.0,0.0,1.0,0.0,5.0,0.0,7.0,0.0,14.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,50.0,21.0,1.0,4.0,0.0,6.0,19.0
Paraguay,0.0,0.0,1.0,3.0,0.0,4.0,20.0,0.0,0.0,4.0,3.0,21.0,0.0,1.0,0.0,10.0,0.0,312.0,0.0,0.0,4.0,0.0,58.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,5.0,0.0,0.0,1.0,20.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,36.0
Wallis and Futuna,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.0,0.0,167.0,0.0,2.0,2.0,0.0,22.0,0.0,8.0,0.0,13.0,4.0,10.0,28.0,0.0,792.0,0.0,0.0,4.0,10.0,0.0,9.0,0.0,64.0,3.0,24.0,2.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,4.0,2.0,0.0,1.0,39.0,16.0,24.0,0.0,11.0,8.0,0.0,0.0,178.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0,0.0,4.0,0.0,14.0,16.0,1.0,79.0,3.0,2.0,0.0,0.0,8.0,3.0,0.0,9.0,6.0,13.0,14.0,0.0,7.0,18.0,1.0,0.0,2.0,3.0,9.0,9.0,42.0,0.0,0.0,0.0,1.0,8.0,0.0,24.0,0.0,31.0,23.0,0.0,8.0,2.0,1.0,0.0,2.0,1.0,30.0,0.0,7.0,31.0,0.0,2.0,0.0,9.0,12.0
Bahrain,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,5.0,0.0,316.0,0.0,0.0,142.0,0.0,1.0,17.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,3.0,0.0,2.0,0.0,3.0,2.0,95.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,64.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,2.0,22.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,20.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,13.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0
Egypt,0.0,0.0,0.0,187.0,0.0,1.0,26.0,0.0,5.0,2.0,12.0,4.0,2.0,24.0,17.0,12.0,0.0,1402.0,1.0,0.0,3.0,2.0,15.0,282.0,1.0,14.0,1.0,571.0,3.0,1.0,1.0,0.0,27.0,1.0,1.0,15.0,1.0,372.0,15.0,2.0,6.0,0.0,2.0,0.0,9.0,31.0,82.0,1.0,7.0,1.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,3.0,0.0,8.0,80.0,8.0,68.0,2.0,0.0,2.0,0.0,1.0,69.0,1.0,0.0,21.0,12.0,177.0,0.0,2.0,2.0,1.0,0.0,2.0,19.0,9.0,30.0,22.0,0.0,8.0,18.0,0.0,7.0,3.0,17.0,0.0,7.0,25.0,1.0,3.0,5.0,6.0,2.0,0.0,0.0,32.0,0.0,8.0,66.0,0.0,3.0,0.0,18.0,11.0
Singapore,0.0,0.0,0.0,60.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,15.0,1.0,2.0,0.0,27.0,0.0,950.0,16.0,0.0,95.0,4.0,196.0,0.0,0.0,45.0,0.0,40.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,4.0,0.0,2.0,8.0,28.0,43.0,2.0,7.0,4.0,0.0,0.0,135.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,12.0,6.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,21.0,1.0,0.0,1.0,34.0,1.0,0.0,1.0,1.0,36.0,18.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,5.0,17.0,0.0,3.0,0.0,8.0,46.0
Saudi Arabia,0.0,0.0,0.0,25.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0,1.0,24.0,0.0,1121.0,1.0,0.0,8.0,5.0,10.0,192.0,1.0,11.0,2.0,173.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,136.0,17.0,0.0,5.0,2.0,1.0,0.0,6.0,8.0,8.0,5.0,7.0,3.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,1.0,67.0,13.0,1.0,25.0,29.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,4.0,21.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,16.0,11.0,14.0,0.0,0.0,3.0,0.0,4.0,0.0,15.0,0.0,5.0,30.0,3.0,0.0,2.0,10.0,2.0,0.0,0.0,40.0,0.0,6.0,15.0,2.0,0.0,0.0,51.0,8.0
Ireland,0.0,0.0,0.0,124.0,1.0,11.0,1.0,0.0,8.0,0.0,18.0,3.0,31.0,7.0,0.0,52.0,0.0,2631.0,1.0,3.0,26.0,12.0,8.0,1.0,0.0,49.0,1.0,23.0,4.0,0.0,5.0,0.0,100.0,1.0,0.0,1.0,3.0,230.0,12.0,3.0,27.0,4.0,1.0,1.0,78.0,60.0,83.0,0.0,27.0,18.0,0.0,0.0,347.0,0.0,0.0,3.0,4.0,0.0,7.0,4.0,5.0,0.0,38.0,3.0,7.0,13.0,1.0,63.0,20.0,1.0,0.0,0.0,16.0,4.0,1.0,0.0,7.0,6.0,20.0,1.0,14.0,22.0,0.0,0.0,19.0,7.0,26.0,63.0,145.0,1.0,2.0,10.0,0.0,7.0,0.0,17.0,0.0,36.0,10.0,14.0,2.0,12.0,0.0,1.0,5.0,0.0,19.0,0.0,27.0,23.0,0.0,0.0,0.0,5.0,11.0
Côte d'Ivoire,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,225.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,44.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,11.0,3.0,0.0,0.0,0.0,5.0,6.0
Finland,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,11.0,0.0,435.0,5.0,0.0,12.0,10.0,0.0,4.0,2.0,16.0,10.0,9.0,1.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,1.0,2.0,7.0,0.0,2.0,9.0,9.0,0.0,34.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,3.0,12.0,2.0,0.0,6.0,17.0,1.0,0.0,5.0,0.0,10.0,12.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,10.0,7.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0,2.0,0.0,1.0,5.0
Kuwait,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,205.0,0.0,0.0,1.0,1.0,0.0,31.0,0.0,4.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,13.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,2.0
Slovenia,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,287.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,19.0,15.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Estonia,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,189.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,12.0,0.0,5.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
Panama,0.0,0.0,0.0,22.0,0.0,1.0,4.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,13.0,0.0,597.0,0.0,0.0,5.0,2.0,51.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,21.0,71.0,0.0,19.0,16.0,3.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,33.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,3.0,4.0,1.0,0.0,7.0,2.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,11.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,39.0
Lebanon,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,370.0,0.0,0.0,0.0,1.0,1.0,378.0,0.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,68.0,3.0,1.0,3.0,1.0,0.0,0.0,43.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,128.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,106.0,0.0,0.0,0.0,3.0,4.0
Mauritania,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,238.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,11.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,31.0,0.0
"Macedonia, Republic of",0.0,0.0,0.0,35.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,2.0,597.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,48.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,12.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mali,0.0,0.0,0.0,28.0,3.0,4.0,7.0,0.0,2.0,0.0,25.0,1.0,5.0,6.0,2.0,7.0,0.0,296.0,1.0,0.0,6.0,2.0,2.0,57.0,3.0,40.0,2.0,8.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,6.0,4.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,8.0,6.0,0.0,0.0,26.0,0.0,0.0,9.0,1.0,1.0,8.0,4.0,0.0,0.0,34.0,0.0,5.0,50.0,3.0,42.0,4.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,5.0,9.0,2.0,2.0,2.0,0.0,0.0,5.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,13.0,0.0,17.0,4.0,1.0,0.0,0.0,5.0,4.0
Israel,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,3.0,0.0,11.0,0.0,416.0,0.0,0.0,7.0,1.0,3.0,65.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,3.0,12.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,6.0,4.0,20.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,10.0,7.0,15.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,12.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0
Dominica,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,10.0,0.0,408.0,0.0,0.0,0.0,1.0,21.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,0.0,0.0,0.0,2.0,12.0,2.0,11.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0
Seychelles,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,53.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
Haiti,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,56.0,0.0,3.0,0.0,92.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,130.0,1.0,0.0,1.0,0.0,14.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,4.0
Jersey,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,299.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,11.0,0.0,9.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,7.0,0.0,1.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
