,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
India,0.0,7.0,8.0,309.0,12.0,21.0,10.0,2.0,8.0,3.0,21.0,130.0,17.0,22.0,27.0,298.0,3.0,8451.0,3.0,1.0,255.0,45.0,552.0,8.0,16.0,133.0,26.0,195.0,8.0,0.0,17.0,1.0,92.0,2.0,0.0,169.0,1.0,453.0,51.0,3.0,20.0,16.0,2.0,0.0,69.0,149.0,101.0,9.0,66.0,20.0,13.0,0.0,855.0,31.0,0.0,6.0,6.0,57.0,284.0,14.0,0.0,0.0,13.0,0.0,27.0,229.0,6.0,1747.0,9.0,3.0,7.0,5.0,27.0,36.0,10.0,4.0,64.0,75.0,87.0,4.0,162.0,64.0,2.0,1.0,76.0,117.0,55.0,106.0,44.0,0.0,4.0,19.0,0.0,21.0,9.0,28.0,5.0,577.0,17.0,2.0,19.0,14.0,36.0,2.0,2.0,0.0,272.0,0.0,205.0,34.0,86.0,2.0,0.0,33.0,128.0
Namibia,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,239.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,0.0,9.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,2.0,5.0,0.0,193.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,112.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,33.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,28.0,3.0,0.0,0.0,5.0,0.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,96.0,1.0,0.0,0.0,0.0,2.0,1.0
Gambia,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,59.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Chad,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,10.0,0.0,210.0,0.0,0.0,2.0,1.0,2.0,6.0,9.0,15.0,0.0,8.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,15.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,8.0,1.0,0.0,20.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,12.0,5.0,16.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,19.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,7.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,9.0,5.0,1.0,0.0,0.0,5.0,4.0
Liberia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,69.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,568.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,5.0,3.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,11.0,1.0
Fiji,0.0,1.0,0.0,15.0,0.0,4.0,2.0,0.0,23.0,0.0,2.0,2.0,6.0,4.0,0.0,111.0,0.0,1202.0,1.0,0.0,3.0,13.0,7.0,6.0,0.0,35.0,0.0,17.0,2.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,1.0,16.0,7.0,1.0,4.0,8.0,0.0,0.0,1.0,11.0,4.0,0.0,12.0,7.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,0.0,10.0,2.0,7.0,44.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,13.0,22.0,7.0,0.0,0.0,63.0,2.0,0.0,13.0,9.0,24.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,76.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,25.0,0.0,16.0,3.0,0.0,1.0,0.0,1.0,13.0
Sweden,0.0,5.0,1.0,74.0,2.0,9.0,4.0,0.0,12.0,0.0,5.0,4.0,47.0,9.0,2.0,29.0,1.0,861.0,1.0,6.0,32.0,29.0,6.0,7.0,2.0,23.0,1.0,52.0,3.0,0.0,41.0,1.0,26.0,0.0,0.0,0.0,1.0,38.0,3.0,9.0,14.0,10.0,8.0,0.0,16.0,25.0,42.0,2.0,56.0,3.0,1.0,0.0,168.0,0.0,2.0,1.0,41.0,1.0,4.0,3.0,0.0,0.0,28.0,2.0,5.0,10.0,0.0,36.0,9.0,1.0,0.0,0.0,22.0,17.0,4.0,6.0,17.0,37.0,14.0,3.0,0.0,169.0,8.0,1.0,13.0,18.0,8.0,25.0,177.0,0.0,1.0,7.0,0.0,16.0,1.0,6.0,0.0,29.0,16.0,4.0,2.0,24.0,0.0,4.0,2.0,0.0,17.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0
Malawi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,763.0,1.0,7.0,0.0,93.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,1.0,68.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,6.0
Maldives,0.0,4.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,199.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,27.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,9.0,7.0,0.0,9.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,108.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,8.0,6.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,101.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,8.0
Egypt,0.0,5.0,1.0,438.0,2.0,8.0,8.0,0.0,6.0,1.0,2.0,11.0,1.0,68.0,36.0,14.0,0.0,1695.0,0.0,1.0,4.0,0.0,47.0,323.0,1.0,76.0,3.0,325.0,0.0,0.0,0.0,1.0,20.0,4.0,2.0,13.0,1.0,436.0,10.0,1.0,9.0,0.0,0.0,3.0,7.0,20.0,57.0,2.0,13.0,15.0,2.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,8.0,0.0,10.0,132.0,23.0,94.0,9.0,0.0,0.0,0.0,1.0,76.0,2.0,1.0,14.0,1.0,167.0,1.0,3.0,59.0,2.0,1.0,6.0,40.0,4.0,77.0,10.0,0.0,0.0,25.0,0.0,1.0,1.0,16.0,0.0,18.0,40.0,7.0,9.0,10.0,0.0,0.0,0.0,0.0,34.0,0.0,16.0,71.0,0.0,1.0,0.0,34.0,18.0
Azerbaijan,0.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,32.0,0.0,664.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,48.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,32.0,11.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,19.0
Iraq,0.0,11.0,2.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,2.0,248.0,0.0,0.0,3.0,0.0,1.0,123.0,0.0,20.0,0.0,23.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,33.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,23.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,0.0,1.0,8.0,0.0,2.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,16.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0
Algeria,0.0,5.0,0.0,85.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,19.0,3.0,0.0,248.0,0.0,0.0,0.0,0.0,6.0,58.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,143.0,8.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,11.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0,2.0
Kuwait,0.0,2.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,1.0,92.0,0.0,6.0,0.0,46.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,39.0,5.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,2.0,31.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,33.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,4.0,4.0,0.0,1.0,0.0
Tajikistan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0
Syrian Arab Republic,0.0,1.0,0.0,8.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,810.0,0.0,8.0,0.0,317.0,0.0,0.0,7.0,0.0,4.0,152.0,0.0,56.0,2.0,51.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,31.0,3.0,2.0,2.0,1.0,0.0,80.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,154.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,24.0,0.0,1.0,2.0,0.0,0.0,20.0,21.0,3.0,13.0,13.0,0.0,11.0,1.0,0.0,4.0,0.0,3.0,0.0,4.0,12.0,0.0,36.0,4.0,0.0,2.0,0.0,0.0,12.0,0.0,47.0,34.0,0.0,1.0,1.0,4.0,6.0
Jamaica,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Puerto Rico,0.0,1.0,0.0,78.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0,7.0,5.0,12.0,3.0,18.0,0.0,806.0,3.0,0.0,19.0,4.0,39.0,1.0,0.0,8.0,0.0,16.0,0.0,0.0,2.0,3.0,15.0,0.0,0.0,4.0,0.0,17.0,11.0,0.0,1.0,0.0,1.0,0.0,6.0,12.0,23.0,0.0,15.0,13.0,4.0,0.0,63.0,1.0,1.0,0.0,1.0,0.0,15.0,85.0,0.0,0.0,18.0,0.0,7.0,13.0,2.0,6.0,11.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,30.0,14.0,9.0,0.0,2.0,2.0,9.0,27.0,20.0,0.0,3.0,1.0,0.0,2.0,0.0,88.0,0.0,21.0,8.0,9.0,3.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,10.0,4.0,0.0,11.0,0.0,8.0,30.0
Cabo Verde,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,337.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,23.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,23.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,42.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,14.0
Isle of Man,0.0,1.0,1.0,18.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,10.0,0.0,395.0,0.0,0.0,22.0,5.0,3.0,0.0,0.0,8.0,0.0,14.0,4.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,10.0,84.0,1.0,15.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,10.0,2.0,0.0,2.0,4.0,11.0,8.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0
Senegal,0.0,2.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,21.0,0.0,926.0,0.0,1.0,1.0,1.0,21.0,5.0,5.0,70.0,0.0,10.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,21.0,1.0,5.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,2.0,0.0,1.0,51.0,15.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,4.0,17.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,16.0,0.0,0.0,7.0,25.0,0.0,4.0,0.0,0.0,3.0,0.0,15.0,8.0
Mauritius,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,96.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0
Bangladesh,0.0,13.0,2.0,7.0,0.0,0.0,2.0,6.0,1.0,6.0,0.0,8.0,0.0,10.0,0.0,17.0,0.0,433.0,0.0,0.0,3.0,1.0,331.0,1.0,0.0,18.0,0.0,9.0,2.0,0.0,0.0,1.0,21.0,2.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,4.0,1.0,5.0,2.0,9.0,11.0,3.0,2.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,21.0,1.0,0.0,0.0,44.0,0.0,7.0,1.0,0.0,4.0,19.0,10.0,0.0,4.0,5.0,0.0,0.0,19.0,2.0,5.0,4.0,22.0,0.0,2.0,6.0,0.0,7.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,26.0,5.0,13.0,1.0,0.0,1.0,11.0
Uruguay,0.0,3.0,0.0,145.0,1.0,6.0,28.0,0.0,0.0,3.0,1.0,75.0,1.0,4.0,1.0,4.0,0.0,385.0,0.0,0.0,1.0,2.0,47.0,2.0,0.0,3.0,1.0,10.0,4.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,3.0,6.0,3.0,0.0,3.0,10.0,12.0,0.0,22.0,5.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,11.0,14.0,7.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,19.0,26.0,0.0,0.0,0.0,1.0,2.0,1.0,141.0,7.0,1.0,23.0,0.0,9.0,2.0,2.0,0.0,5.0,4.0,0.0,11.0,9.0,2.0,0.0,2.0,0.0,1.0,0.0,33.0,0.0,40.0,11.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,88.0
Ethiopia,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,2.0,23.0,2.0,42.0,15.0,3.0,0.0,179.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,63.0,0.0,9.0,1.0,0.0,0.0,0.0,23.0,4.0,0.0,9.0,0.0,17.0,23.0,5.0,2.0,3.0,0.0,0.0,15.0,11.0,3.0,0.0,0.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,91.0,2.0,169.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,6.0,5.0,28.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,4.0,9.0,19.0,0.0,2.0,19.0,0.0,6.0,5.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,7.0,0.0,0.0,2.0,26.0,0.0,33.0,2.0,4.0,0.0,0.0,3.0,0.0
Haiti,0.0,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1103.0,1.0,8.0,0.0,435.0,0.0,0.0,0.0,9.0,10.0,9.0,0.0,25.0,1.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,13.0,11.0,0.0,8.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,18.0,0.0,34.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,20.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,10.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,10.0,6.0
Mongolia,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,104.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0
