,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Germany,9.0,9.0,11.0,1549.0,13.0,30.0,3.0,0.0,34.0,2.0,44.0,3.0,30.0,14.0,5.0,106.0,25.0,6042.0,1.0,73.0,41.0,81.0,37.0,46.0,0.0,164.0,55.0,86.0,15.0,1.0,105.0,6.0,130.0,1.0,0.0,4.0,6.0,62.0,19.0,2.0,21.0,44.0,9.0,2.0,45.0,162.0,90.0,19.0,155.0,87.0,3.0,0.0,1158.0,3.0,0.0,2.0,73.0,2.0,36.0,7.0,3.0,0.0,33.0,0.0,67.0,68.0,33.0,433.0,37.0,0.0,3.0,1.0,30.0,46.0,4.0,17.0,49.0,25.0,129.0,3.0,14.0,324.0,18.0,13.0,48.0,13.0,49.0,87.0,175.0,0.0,3.0,2.0,0.0,16.0,23.0,62.0,1.0,108.0,25.0,7.0,36.0,23.0,1.0,17.0,1.0,0.0,94.0,4.0,45.0,31.0,1.0,115.0,0.0,16.0,110.0
Portugal,1.0,0.0,1.0,141.0,0.0,23.0,7.0,0.0,22.0,2.0,3.0,4.0,6.0,9.0,0.0,48.0,0.0,1821.0,0.0,0.0,21.0,34.0,4.0,1.0,0.0,16.0,0.0,6.0,1.0,0.0,5.0,1.0,34.0,0.0,0.0,1.0,0.0,29.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0,22.0,68.0,3.0,19.0,4.0,0.0,0.0,43.0,0.0,0.0,0.0,27.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,15.0,17.0,0.0,26.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,4.0,8.0,1.0,22.0,1.0,2.0,0.0,6.0,2.0,11.0,30.0,7.0,2.0,2.0,1.0,0.0,1.0,7.0,11.0,0.0,38.0,6.0,1.0,0.0,3.0,0.0,0.0,12.0,0.0,26.0,0.0,14.0,2.0,0.0,0.0,0.0,5.0,30.0
Croatia,1.0,4.0,0.0,34.0,1.0,6.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,309.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,14.0,0.0,7.0,3.0,0.0,0.0,29.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,5.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0
Serbia,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,187.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,36.0,1.0,0.0,2.0,5.0,0.0,0.0,11.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,3.0,6.0,87.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,13.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,6.0,7.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0
Argentina,2.0,9.0,0.0,68.0,2.0,41.0,79.0,0.0,9.0,41.0,15.0,34.0,9.0,12.0,3.0,15.0,0.0,1488.0,0.0,2.0,31.0,43.0,133.0,9.0,0.0,49.0,17.0,12.0,7.0,0.0,4.0,5.0,48.0,2.0,0.0,2.0,0.0,42.0,8.0,2.0,6.0,11.0,301.0,0.0,34.0,86.0,35.0,5.0,36.0,3.0,1.0,0.0,113.0,0.0,0.0,0.0,191.0,29.0,571.0,29.0,0.0,1.0,1.0,0.0,23.0,17.0,0.0,94.0,17.0,5.0,0.0,0.0,4.0,4.0,0.0,283.0,30.0,136.0,152.0,0.0,31.0,42.0,6.0,0.0,53.0,220.0,24.0,146.0,14.0,13.0,8.0,2.0,0.0,2.0,2.0,95.0,0.0,156.0,34.0,3.0,11.0,16.0,0.0,19.0,11.0,0.0,40.0,0.0,24.0,24.0,0.0,5.0,0.0,66.0,129.0
Kenya,5.0,25.0,1.0,32.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,18.0,8.0,69.0,20.0,3.0,0.0,414.0,5.0,0.0,8.0,1.0,2.0,3.0,1.0,218.0,7.0,32.0,1.0,2.0,3.0,0.0,11.0,0.0,0.0,5.0,0.0,57.0,11.0,0.0,18.0,4.0,0.0,0.0,4.0,10.0,5.0,1.0,12.0,2.0,3.0,0.0,33.0,0.0,0.0,1.0,1.0,5.0,7.0,4.0,0.0,0.0,2.0,0.0,3.0,72.0,10.0,81.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,14.0,5.0,22.0,1.0,2.0,0.0,8.0,8.0,2.0,50.0,12.0,0.0,2.0,21.0,0.0,11.0,8.0,8.0,0.0,8.0,5.0,0.0,7.0,27.0,5.0,5.0,2.0,1.0,21.0,0.0,40.0,1.0,17.0,1.0,0.0,25.0,6.0
Switzerland,1.0,9.0,0.0,123.0,1.0,3.0,1.0,0.0,7.0,5.0,10.0,3.0,6.0,93.0,7.0,23.0,0.0,1378.0,1.0,1.0,49.0,18.0,21.0,14.0,0.0,210.0,3.0,30.0,3.0,0.0,4.0,2.0,47.0,0.0,0.0,1.0,0.0,18.0,14.0,1.0,17.0,2.0,1.0,1.0,6.0,39.0,34.0,19.0,36.0,10.0,0.0,0.0,104.0,0.0,0.0,2.0,2.0,4.0,9.0,0.0,3.0,0.0,12.0,0.0,24.0,109.0,15.0,131.0,7.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,14.0,23.0,12.0,10.0,2.0,33.0,7.0,0.0,4.0,2.0,13.0,27.0,30.0,0.0,0.0,1.0,0.0,3.0,4.0,104.0,0.0,40.0,8.0,3.0,1.0,6.0,1.0,0.0,1.0,0.0,42.0,3.0,78.0,25.0,2.0,12.0,0.0,14.0,42.0
Turkey,1.0,14.0,3.0,217.0,4.0,26.0,1.0,0.0,2.0,1.0,12.0,3.0,6.0,57.0,1.0,20.0,6.0,805.0,0.0,0.0,23.0,12.0,3.0,76.0,4.0,15.0,10.0,15.0,5.0,1.0,7.0,0.0,58.0,2.0,0.0,2.0,4.0,352.0,34.0,0.0,2.0,2.0,0.0,0.0,7.0,43.0,20.0,3.0,23.0,3.0,1.0,0.0,141.0,1.0,11.0,0.0,5.0,6.0,10.0,1.0,0.0,0.0,9.0,1.0,9.0,25.0,2.0,102.0,8.0,6.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,41.0,11.0,1.0,240.0,172.0,3.0,0.0,10.0,5.0,50.0,57.0,45.0,1.0,41.0,0.0,0.0,5.0,7.0,33.0,0.0,49.0,2.0,3.0,32.0,5.0,4.0,1.0,1.0,0.0,76.0,0.0,13.0,13.0,5.0,11.0,14.0,13.0,12.0
"Tanzania, United Republic of",1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,2.0,5.0,0.0,106.0,0.0,0.0,7.0,2.0,2.0,2.0,0.0,91.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,4.0,2.0,1.0,2.0,0.0,28.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,1.0,5.0,3.0,6.0,0.0,3.0,0.0,4.0,2.0,2.0,6.0,8.0,0.0,1.0,14.0,0.0,17.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,10.0,5.0,0.0,0.0,0.0,3.0,5.0
"Korea, Republic of",1.0,3.0,0.0,95.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,0.0,7.0,1.0,852.0,0.0,2.0,27.0,12.0,6.0,2.0,0.0,23.0,0.0,40.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,24.0,2.0,1.0,3.0,2.0,6.0,0.0,1.0,15.0,14.0,5.0,13.0,4.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,0.0,34.0,4.0,7.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,10.0,2.0,1.0,3.0,9.0,1.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,1.0,7.0,0.0,9.0,0.0,4.0,0.0,11.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,10.0
New Zealand,1.0,3.0,1.0,13.0,2.0,4.0,0.0,0.0,9.0,0.0,1.0,1.0,6.0,3.0,0.0,19.0,0.0,513.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,18.0,0.0,11.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,1.0,0.0,14.0,6.0,0.0,2.0,1.0,0.0,0.0,72.0,8.0,19.0,0.0,7.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,39.0,19.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,11.0,13.0,6.0,1.0,0.0,9.0,0.0,0.0,5.0,4.0,2.0,7.0,24.0,28.0,4.0,0.0,0.0,3.0,0.0,7.0,1.0,16.0,2.0,3.0,0.0,15.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0
Brazil,1.0,7.0,10.0,148.0,9.0,48.0,28.0,0.0,4.0,36.0,63.0,214.0,14.0,12.0,4.0,81.0,0.0,4978.0,1.0,17.0,39.0,38.0,329.0,27.0,0.0,50.0,3.0,37.0,1.0,0.0,46.0,22.0,63.0,2.0,0.0,7.0,0.0,187.0,17.0,6.0,5.0,141.0,2.0,1.0,17.0,281.0,66.0,6.0,83.0,67.0,12.0,0.0,108.0,1.0,0.0,4.0,0.0,59.0,159.0,19.0,0.0,0.0,7.0,1.0,15.0,56.0,9.0,388.0,237.0,0.0,1.0,1.0,17.0,41.0,2.0,4.0,36.0,31.0,654.0,0.0,159.0,2.0,34.0,0.0,410.0,270.0,21.0,119.0,32.0,1.0,2.0,34.0,0.0,32.0,5.0,252.0,1.0,376.0,145.0,31.0,47.0,39.0,3.0,0.0,9.0,3.0,94.0,0.0,23.0,133.0,3.0,7.0,0.0,246.0,491.0
Dominican Republic,1.0,0.0,2.0,37.0,0.0,7.0,30.0,0.0,0.0,2.0,12.0,9.0,3.0,135.0,0.0,20.0,0.0,1104.0,0.0,0.0,0.0,21.0,97.0,9.0,0.0,10.0,1.0,2.0,2.0,0.0,5.0,0.0,7.0,0.0,0.0,2.0,0.0,66.0,0.0,0.0,0.0,38.0,2.0,0.0,23.0,65.0,25.0,4.0,13.0,7.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,22.0,48.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,45.0,21.0,1.0,0.0,0.0,0.0,5.0,2.0,10.0,5.0,7.0,74.0,0.0,12.0,4.0,1.0,0.0,52.0,77.0,3.0,20.0,6.0,1.0,3.0,2.0,0.0,10.0,0.0,63.0,0.0,30.0,11.0,1.0,27.0,7.0,0.0,5.0,10.0,1.0,30.0,0.0,4.0,28.0,0.0,1.0,0.0,46.0,52.0
Bulgaria,3.0,0.0,2.0,73.0,3.0,9.0,16.0,0.0,1.0,0.0,92.0,0.0,17.0,2.0,0.0,26.0,0.0,1541.0,6.0,0.0,5.0,5.0,1.0,11.0,0.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,60.0,51.0,9.0,0.0,12.0,9.0,0.0,0.0,910.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,239.0,0.0,1.0,0.0,0.0,53.0,2.0,0.0,2.0,0.0,34.0,20.0,0.0,13.0,4.0,3.0,0.0,62.0,10.0,7.0,16.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,89.0,34.0,3.0,26.0,7.0,0.0,37.0,1.0,0.0,75.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,3.0
Russian Federation,1.0,62.0,1.0,187.0,6.0,14.0,33.0,0.0,0.0,0.0,24.0,1.0,3.0,30.0,5.0,56.0,3.0,4143.0,0.0,1.0,49.0,6.0,6.0,139.0,1.0,173.0,8.0,56.0,6.0,16.0,3.0,1.0,26.0,1.0,0.0,0.0,30.0,113.0,8.0,0.0,14.0,2.0,12.0,21.0,51.0,42.0,91.0,3.0,25.0,8.0,0.0,0.0,400.0,2.0,0.0,0.0,2.0,0.0,5.0,15.0,4.0,0.0,50.0,0.0,36.0,18.0,25.0,134.0,31.0,4.0,0.0,0.0,5.0,9.0,0.0,7.0,18.0,36.0,10.0,2.0,33.0,15.0,13.0,0.0,50.0,17.0,70.0,55.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,34.0,0.0,166.0,38.0,1.0,2.0,6.0,0.0,16.0,0.0,0.0,79.0,16.0,37.0,29.0,0.0,9.0,1.0,9.0,22.0
Solomon Islands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,1.0,21.0,0.0,451.0,0.0,11.0,29.0,0.0,0.0,0.0,1.0,4.0,3.0,52.0,2.0,53.0,5.0,5326.0,0.0,6.0,72.0,3.0,4.0,129.0,2.0,138.0,3.0,25.0,5.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,2.0,60.0,6.0,0.0,6.0,9.0,2.0,0.0,40.0,42.0,160.0,2.0,10.0,3.0,0.0,0.0,115.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,2.0,68.0,2.0,214.0,5.0,4.0,1.0,0.0,5.0,2.0,2.0,10.0,4.0,5.0,60.0,0.0,65.0,14.0,5.0,0.0,9.0,18.0,14.0,16.0,13.0,0.0,1.0,3.0,0.0,1.0,8.0,47.0,0.0,25.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,92.0,0.0,19.0,7.0,0.0,7.0,0.0,9.0,34.0
Congo,0.0,7.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,3.0,15.0,9.0,3.0,48.0,4.0,6.0,20.0,132.0,0.0,0.0,2.0,1.0,5.0,0.0,8.0,699.0,3.0,10.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0,66.0,12.0,82.0,38.0,0.0,0.0,5.0,0.0,2.0,5.0,2.0,1.0,9.0,27.0,1.0,0.0,3.0,1.0,4.0,11.0,1.0,4.0,13.0,2.0,0.0,0.0,5.0,0.0,4.0,33.0,51.0,0.0,19.0,3.0,1.0,11.0,1.0,7.0,1.0,1.0,0.0,10.0,0.0,15.0,2.0,0.0,1.0,0.0,25.0,14.0
Viet Nam,0.0,12.0,9.0,91.0,0.0,3.0,0.0,0.0,1.0,0.0,111.0,9.0,1.0,2.0,0.0,9.0,0.0,1755.0,0.0,0.0,10.0,6.0,76.0,0.0,3.0,21.0,0.0,33.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,92.0,4.0,0.0,4.0,12.0,1.0,0.0,6.0,28.0,136.0,16.0,18.0,4.0,1.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,4.0,23.0,3.0,0.0,9.0,0.0,3.0,3.0,29.0,9.0,3.0,3.0,21.0,0.0,0.0,1.0,0.0,10.0,0.0,14.0,0.0,24.0,7.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,3.0,5.0,0.0,0.0,0.0,14.0,52.0
Puerto Rico,0.0,2.0,0.0,37.0,1.0,4.0,1.0,0.0,3.0,0.0,2.0,4.0,3.0,12.0,1.0,11.0,0.0,656.0,0.0,0.0,19.0,2.0,29.0,0.0,0.0,11.0,0.0,7.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,24.0,10.0,0.0,1.0,1.0,1.0,0.0,9.0,13.0,20.0,0.0,7.0,13.0,4.0,0.0,55.0,1.0,1.0,0.0,2.0,0.0,12.0,81.0,0.0,0.0,21.0,0.0,3.0,5.0,0.0,8.0,11.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,10.0,4.0,7.0,0.0,31.0,14.0,10.0,0.0,2.0,3.0,6.0,27.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,17.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,21.0,0.0,7.0,32.0
Uganda,0.0,9.0,3.0,12.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,8.0,0.0,27.0,19.0,17.0,10.0,283.0,0.0,0.0,1.0,0.0,12.0,15.0,1.0,5496.0,0.0,43.0,0.0,0.0,6.0,9.0,5.0,1.0,0.0,3.0,38.0,14.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,9.0,10.0,3.0,7.0,1.0,1.0,0.0,21.0,0.0,4.0,8.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,17.0,175.0,61.0,65.0,10.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,42.0,0.0,19.0,1.0,1.0,0.0,3.0,5.0,9.0,11.0,4.0,0.0,2.0,10.0,0.0,1.0,16.0,34.0,0.0,12.0,1.0,5.0,7.0,1.0,1.0,0.0,0.0,3.0,21.0,0.0,71.0,3.0,2.0,12.0,0.0,28.0,14.0
Canada,0.0,47.0,2.0,297.0,14.0,17.0,1.0,0.0,45.0,4.0,18.0,5.0,41.0,32.0,8.0,109.0,0.0,4620.0,0.0,0.0,70.0,113.0,7.0,5.0,0.0,166.0,5.0,73.0,7.0,0.0,5.0,3.0,40.0,0.0,0.0,0.0,1.0,105.0,17.0,5.0,9.0,12.0,1.0,0.0,16.0,70.0,84.0,0.0,99.0,73.0,2.0,0.0,418.0,1.0,0.0,1.0,17.0,0.0,13.0,1.0,0.0,1.0,63.0,1.0,34.0,23.0,7.0,91.0,66.0,1.0,0.0,3.0,2.0,17.0,2.0,5.0,32.0,24.0,51.0,1.0,44.0,192.0,9.0,3.0,8.0,7.0,54.0,70.0,29.0,5.0,1.0,2.0,0.0,35.0,8.0,68.0,1.0,170.0,63.0,10.0,6.0,8.0,0.0,5.0,8.0,0.0,32.0,5.0,22.0,32.0,0.0,12.0,0.0,15.0,17.0
Albania,0.0,55.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,0.0,1343.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0
Australia,0.0,10.0,3.0,60.0,6.0,25.0,1.0,22.0,8.0,6.0,13.0,17.0,136.0,5.0,20.0,114.0,0.0,3759.0,4.0,0.0,105.0,39.0,8.0,6.0,1.0,113.0,3.0,133.0,11.0,0.0,23.0,20.0,70.0,6.0,1.0,4.0,6.0,102.0,32.0,3.0,48.0,14.0,7.0,102.0,35.0,77.0,83.0,4.0,70.0,51.0,6.0,0.0,545.0,162.0,1.0,0.0,32.0,2.0,31.0,19.0,2.0,0.0,5.0,0.0,26.0,44.0,10.0,134.0,56.0,1.0,0.0,21.0,21.0,15.0,2.0,4.0,57.0,24.0,26.0,21.0,22.0,113.0,4.0,3.0,32.0,11.0,26.0,108.0,56.0,10.0,6.0,7.0,0.0,9.0,3.0,23.0,0.0,188.0,26.0,18.0,11.0,21.0,7.0,4.0,4.0,1.0,36.0,6.0,63.0,37.0,1.0,6.0,0.0,8.0,43.0
India,0.0,9.0,5.0,202.0,16.0,14.0,30.0,1.0,6.0,1.0,10.0,167.0,13.0,19.0,24.0,279.0,3.0,7316.0,27.0,1.0,183.0,37.0,585.0,10.0,9.0,136.0,3.0,126.0,8.0,0.0,15.0,2.0,76.0,2.0,0.0,118.0,1.0,355.0,38.0,4.0,21.0,18.0,1.0,0.0,55.0,137.0,89.0,3.0,56.0,21.0,13.0,0.0,325.0,55.0,0.0,6.0,7.0,45.0,187.0,31.0,0.0,0.0,9.0,0.0,25.0,229.0,0.0,1210.0,3.0,2.0,7.0,3.0,9.0,36.0,13.0,3.0,55.0,61.0,98.0,0.0,247.0,41.0,3.0,0.0,75.0,91.0,43.0,98.0,42.0,0.0,4.0,6.0,0.0,26.0,7.0,21.0,5.0,288.0,6.0,1.0,15.0,12.0,11.0,2.0,0.0,0.0,252.0,0.0,189.0,34.0,76.0,2.0,0.0,52.0,127.0
Ethiopia,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,9.0,2.0,23.0,1.0,2.0,0.0,118.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,50.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,2.0,0.0,8.0,0.0,14.0,6.0,5.0,1.0,3.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,11.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,1.0,119.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,4.0,4.0,10.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,13.0,0.0,0.0,21.0,0.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,2.0,7.0,1.0,0.0,3.0,23.0,0.0,7.0,2.0,5.0,1.0,0.0,5.0,1.0
Czechia,0.0,14.0,5.0,223.0,14.0,14.0,6.0,0.0,30.0,11.0,19.0,24.0,25.0,10.0,38.0,74.0,0.0,1722.0,10.0,3.0,183.0,87.0,36.0,3.0,0.0,82.0,9.0,96.0,17.0,0.0,47.0,8.0,114.0,3.0,0.0,5.0,8.0,207.0,50.0,5.0,28.0,28.0,13.0,1.0,60.0,93.0,103.0,8.0,118.0,87.0,9.0,1.0,377.0,17.0,0.0,1.0,30.0,8.0,16.0,9.0,16.0,0.0,28.0,8.0,65.0,58.0,5.0,140.0,30.0,5.0,2.0,1.0,9.0,13.0,5.0,7.0,74.0,69.0,26.0,2.0,28.0,70.0,15.0,11.0,47.0,13.0,46.0,102.0,95.0,1.0,7.0,12.0,0.0,31.0,13.0,35.0,2.0,74.0,34.0,10.0,19.0,29.0,8.0,5.0,21.0,1.0,58.0,0.0,84.0,46.0,1.0,21.0,0.0,23.0,44.0
"Iran, Islamic Republic of",0.0,11.0,2.0,10.0,0.0,5.0,21.0,0.0,2.0,0.0,0.0,0.0,6.0,70.0,3.0,15.0,2.0,436.0,1.0,0.0,7.0,3.0,2.0,82.0,0.0,19.0,3.0,23.0,2.0,0.0,1.0,0.0,17.0,1.0,0.0,3.0,0.0,54.0,93.0,1.0,14.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,379.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,5.0,5.0,8.0,3.0,1.0,6.0,6.0,0.0,3.0,9.0,20.0,13.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,13.0,3.0,0.0,1.0,9.0,0.0,56.0,2.0,1.0,53.0,4.0,2.0,1.0,0.0,0.0,5.0,11.0,2.0
