,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Myanmar,0.0,1.0,1.0,31.0,1.0,7.0,8.0,0.0,2.0,0.0,4.0,0.0,0.0,7.0,0.0,3.0,0.0,401.0,1.0,0.0,0.0,8.0,11.0,4.0,0.0,34.0,0.0,2.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,5.0,17.0,1.0,21.0,7.0,1.0,0.0,13.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,10.0,0.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,8.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,3.0,3.0,4.0,0.0,3.0,1.0,0.0,23.0,1.0,19.0,0.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
Serbia,0.0,1.0,0.0,7.0,0.0,7.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,0.0,585.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,5.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0
Indonesia,0.0,16.0,1.0,75.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,20.0,2.0,9.0,1.0,49.0,0.0,2410.0,0.0,0.0,22.0,14.0,228.0,14.0,0.0,103.0,0.0,25.0,0.0,0.0,7.0,0.0,29.0,0.0,0.0,8.0,0.0,26.0,2.0,1.0,1.0,12.0,2.0,27.0,240.0,66.0,70.0,11.0,34.0,6.0,2.0,0.0,193.0,2.0,0.0,1.0,3.0,1.0,12.0,10.0,0.0,0.0,2.0,1.0,24.0,45.0,1.0,38.0,9.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,18.0,22.0,35.0,0.0,4.0,4.0,0.0,0.0,70.0,33.0,22.0,8.0,16.0,0.0,3.0,6.0,0.0,3.0,2.0,4.0,0.0,25.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,45.0,0.0,22.0,22.0,0.0,0.0,0.0,12.0,41.0
Turkey,0.0,11.0,0.0,63.0,2.0,12.0,7.0,0.0,2.0,1.0,33.0,1.0,4.0,3.0,0.0,17.0,10.0,1212.0,1.0,1.0,38.0,10.0,5.0,63.0,1.0,21.0,14.0,18.0,4.0,0.0,6.0,0.0,31.0,0.0,0.0,0.0,0.0,238.0,28.0,0.0,3.0,2.0,1.0,0.0,28.0,45.0,31.0,4.0,75.0,4.0,1.0,0.0,120.0,0.0,2.0,0.0,1.0,1.0,21.0,3.0,0.0,0.0,2.0,0.0,8.0,23.0,3.0,86.0,34.0,15.0,0.0,0.0,24.0,15.0,0.0,19.0,1.0,28.0,23.0,0.0,37.0,295.0,2.0,0.0,24.0,19.0,52.0,53.0,43.0,0.0,51.0,2.0,0.0,2.0,15.0,50.0,0.0,44.0,7.0,0.0,21.0,9.0,0.0,2.0,0.0,0.0,73.0,1.0,25.0,11.0,0.0,16.0,12.0,9.0,23.0
Congo,0.0,2.0,4.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,2.0,0.0,50.0,1.0,8.0,14.0,209.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,1225.0,0.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,2.0,0.0,0.0,1.0,10.0,2.0,1.0,2.0,2.0,0.0,4.0,2.0,4.0,0.0,13.0,0.0,0.0,9.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,76.0,9.0,211.0,26.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,20.0,0.0,1.0,22.0,0.0,0.0,0.0,4.0,10.0,51.0,0.0,0.0,1.0,9.0,0.0,0.0,19.0,36.0,0.0,4.0,15.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,16.0,0.0,8.0,2.0,2.0,2.0,1.0,26.0,14.0
Thailand,0.0,2.0,2.0,63.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,8.0,2.0,1.0,0.0,7.0,0.0,795.0,0.0,1.0,32.0,3.0,60.0,20.0,0.0,41.0,0.0,27.0,0.0,1.0,2.0,0.0,20.0,0.0,0.0,3.0,0.0,31.0,5.0,0.0,11.0,4.0,0.0,1.0,9.0,10.0,134.0,23.0,23.0,1.0,2.0,0.0,73.0,1.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0,0.0,13.0,1.0,119.0,27.0,0.0,32.0,4.0,9.0,1.0,0.0,6.0,8.0,1.0,5.0,5.0,81.0,7.0,0.0,14.0,7.0,8.0,0.0,16.0,4.0,10.0,56.0,9.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,1.0,13.0,6.0,4.0,9.0,4.0,0.0,1.0,0.0,1.0,213.0,0.0,8.0,4.0,0.0,0.0,0.0,11.0,23.0
Bangladesh,0.0,3.0,1.0,28.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,43.0,0.0,11.0,0.0,450.0,0.0,0.0,2.0,4.0,140.0,2.0,0.0,14.0,0.0,9.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,16.0,7.0,0.0,2.0,3.0,1.0,4.0,3.0,9.0,12.0,0.0,1.0,1.0,1.0,0.0,52.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,26.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,12.0,8.0,3.0,0.0,1.0,3.0,0.0,0.0,9.0,3.0,1.0,3.0,6.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,18.0,4.0,2.0,0.0,0.0,0.0,5.0
South Sudan,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,49.0,0.0,1.0,0.0,31.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,1.0
Kyrgyzstan,0.0,5.0,0.0,2.0,0.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0
Greece,0.0,2.0,0.0,104.0,0.0,32.0,2.0,0.0,178.0,0.0,5.0,0.0,4.0,9.0,0.0,110.0,1.0,6726.0,1.0,0.0,2.0,78.0,2.0,11.0,1.0,83.0,13.0,8.0,2.0,0.0,13.0,0.0,9.0,0.0,0.0,2.0,0.0,221.0,28.0,1.0,13.0,1.0,0.0,0.0,8.0,8.0,4.0,4.0,8.0,3.0,3.0,0.0,68.0,0.0,1.0,0.0,2.0,25.0,62.0,0.0,0.0,0.0,3.0,0.0,12.0,18.0,1.0,172.0,4.0,1.0,0.0,0.0,6.0,149.0,0.0,0.0,8.0,6.0,7.0,0.0,2.0,3.0,0.0,0.0,4.0,49.0,40.0,28.0,61.0,0.0,0.0,1.0,0.0,37.0,0.0,17.0,0.0,23.0,7.0,2.0,1.0,13.0,0.0,6.0,0.0,0.0,18.0,0.0,8.0,3.0,59.0,22.0,2.0,1.0,11.0
Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,98.0,1.0,0.0,2.0,88.0,0.0,0.0,0.0,0.0,5.0,86.0,1.0,70.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,26.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,69.0,23.0,42.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,6.0,8.0,0.0,0.0,12.0,11.0
Mozambique,0.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,29.0,3.0,4.0,0.0,182.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,5.0,49.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0
Guinea,0.0,1.0,1.0,24.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,126.0,0.0,1.0,1.0,0.0,1.0,7.0,87.0,264.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,21.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,31.0,0.0,6.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,53.0,37.0,5.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,16.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,11.0,5.0,0.0,2.0,0.0,2.0,5.0,1.0,10.0,0.0,0.0,1.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,17.0,5.0
Mongolia,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,113.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,321.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Botswana,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,9.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0
Romania,0.0,2.0,0.0,182.0,11.0,12.0,32.0,0.0,2.0,0.0,22.0,0.0,3.0,1.0,0.0,79.0,0.0,2019.0,0.0,7.0,14.0,7.0,5.0,4.0,0.0,26.0,2.0,23.0,2.0,0.0,2.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,20.0,25.0,66.0,3.0,9.0,3.0,0.0,0.0,205.0,1.0,0.0,0.0,1.0,1.0,12.0,6.0,8.0,0.0,25.0,0.0,14.0,2.0,0.0,32.0,7.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,4.0,16.0,33.0,0.0,26.0,1.0,2.0,2.0,18.0,11.0,1124.0,11.0,94.0,0.0,7.0,0.0,0.0,4.0,0.0,6.0,0.0,20.0,13.0,0.0,1.0,7.0,0.0,81.0,2.0,0.0,31.0,0.0,11.0,60.0,0.0,2.0,1.0,2.0,11.0
Central African Republic,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,8.0,1.0
Syrian Arab Republic,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,198.0,0.0,0.0,1.0,0.0,4.0,104.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0
Poland,0.0,1.0,3.0,89.0,18.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,15.0,0.0,812.0,1.0,6.0,8.0,9.0,5.0,263.0,0.0,18.0,3.0,6.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,43.0,4.0,1.0,5.0,2.0,1.0,0.0,3.0,14.0,23.0,2.0,6.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,25.0,0.0,18.0,6.0,1.0,37.0,0.0,10.0,0.0,2.0,1.0,3.0,0.0,4.0,12.0,9.0,11.0,1.0,32.0,10.0,2.0,0.0,6.0,3.0,7.0,39.0,85.0,0.0,1.0,0.0,0.0,52.0,1.0,3.0,0.0,11.0,5.0,15.0,16.0,5.0,1.0,4.0,0.0,1.0,350.0,0.0,29.0,2.0,0.0,1.0,0.0,6.0,10.0
Armenia,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,95.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0.0,5.0,0.0,16.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,781.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,20.0,0.0,12.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,5.0,11.0,0.0,0.0,8.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
"Tanzania, United Republic of",0.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,12.0,13.0,2.0,0.0,77.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,8.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,122.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,3.0,0.0,0.0,5.0,0.0,9.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,12.0,12.0
Malawi,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,7.0,1.0,148.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,300.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2.0,0.0,0.0,0.0,7.0,1.0
Rwanda,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,6.0,0.0,167.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,98.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,6.0,6.0,1.0,5.0,3.0,0.0,2.0,6.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,9.0
Morocco,0.0,1.0,0.0,23.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,48.0,0.0,1622.0,0.0,0.0,5.0,0.0,1.0,63.0,0.0,12.0,0.0,29.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,8.0,2.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,54.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,2.0
Afghanistan,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,10.0,2.0,388.0,0.0,0.0,11.0,13.0,50.0,25.0,0.0,43.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,15.0,4.0,2.0,1.0,4.0,1.0,0.0,4.0,11.0,2.0,0.0,3.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,0.0,614.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,38.0,319.0,1.0,12.0,3.0,0.0,0.0,7.0,16.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,22.0,0.0,7.0,1.0,2.0,0.0,0.0,1.0,7.0
Georgia,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,1.0,3.0,22.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,356.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
