,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Malaysia,0.0,2.0,1.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,10.0,0.0,1.0,0.0,1.0,0.0,354.0,8.0,1.0,0.0,3.0,51.0,2.0,0.0,9.0,0.0,14.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,37.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,7.0,2.0,2.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0,75.0,14.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,33.0,0.0,0.0,4.0,13.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,21.0,4.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,35.0
India,0.0,38.0,3.0,144.0,12.0,10.0,29.0,0.0,7.0,2.0,23.0,199.0,12.0,82.0,24.0,356.0,2.0,8934.0,30.0,1.0,178.0,41.0,668.0,27.0,2.0,147.0,2.0,125.0,5.0,0.0,21.0,5.0,81.0,3.0,1.0,84.0,1.0,318.0,42.0,14.0,29.0,25.0,4.0,0.0,58.0,137.0,101.0,5.0,71.0,29.0,13.0,0.0,532.0,104.0,0.0,10.0,8.0,49.0,199.0,49.0,0.0,0.0,4.0,0.0,35.0,331.0,2.0,1120.0,7.0,0.0,8.0,7.0,52.0,31.0,9.0,6.0,47.0,55.0,182.0,1.0,262.0,27.0,7.0,0.0,89.0,61.0,80.0,88.0,55.0,0.0,7.0,12.0,0.0,28.0,6.0,38.0,6.0,341.0,16.0,2.0,16.0,13.0,7.0,5.0,2.0,1.0,271.0,0.0,277.0,41.0,66.0,29.0,0.0,64.0,168.0
Somalia,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,2.0,0.0,118.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0
Hungary,0.0,8.0,0.0,117.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0,26.0,0.0,2.0,0.0,398.0,7.0,0.0,11.0,9.0,0.0,6.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,25.0,50.0,2.0,13.0,2.0,1.0,0.0,41.0,30.0,29.0,0.0,7.0,0.0,0.0,0.0,132.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,12.0,0.0,10.0,1.0,1.0,0.0,2.0,0.0,7.0,7.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,9.0,1.0,3.0,1.0,0.0,3.0,5.0,3.0,7.0
"Tanzania, United Republic of",0.0,7.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,3.0,9.0,2.0,5.0,1.0,137.0,0.0,0.0,10.0,1.0,4.0,7.0,0.0,296.0,1.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,2.0,8.0,4.0,1.0,3.0,0.0,25.0,0.0,1.0,3.0,5.0,0.0,2.0,0.0,3.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,10.0,56.0,0.0,0.0,0.0,0.0,1.0,68.0,97.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,2.0,13.0,0.0,6.0,0.0,2.0,0.0,3.0,1.0,1.0,12.0,11.0,0.0,1.0,18.0,0.0,14.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,20.0,0.0,13.0,5.0,0.0,0.0,0.0,7.0,7.0
Ethiopia,0.0,3.0,6.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,10.0,1.0,8.0,1.0,1.0,0.0,170.0,0.0,0.0,1.0,0.0,4.0,13.0,1.0,34.0,0.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,6.0,0.0,12.0,5.0,4.0,1.0,6.0,0.0,0.0,2.0,12.0,5.0,0.0,1.0,2.0,14.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,61.0,0.0,134.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,20.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,5.0,9.0,0.0,4.0,23.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,8.0,1.0,0.0,2.0,25.0,0.0,4.0,1.0,17.0,1.0,0.0,9.0,2.0
Greece,0.0,15.0,1.0,13.0,1.0,44.0,3.0,0.0,69.0,0.0,4.0,2.0,3.0,5.0,1.0,71.0,0.0,2659.0,4.0,0.0,3.0,6.0,3.0,0.0,0.0,48.0,0.0,12.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,188.0,76.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,8.0,4.0,9.0,19.0,0.0,0.0,54.0,1.0,0.0,2.0,3.0,1.0,16.0,0.0,0.0,1.0,3.0,0.0,10.0,14.0,0.0,84.0,19.0,0.0,0.0,0.0,1.0,35.0,0.0,1.0,38.0,7.0,7.0,0.0,3.0,12.0,0.0,0.0,3.0,47.0,46.0,10.0,18.0,0.0,3.0,1.0,0.0,35.0,2.0,126.0,0.0,22.0,51.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,16.0,7.0,2.0,87.0,0.0,3.0,6.0
Malawi,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,82.0,1.0,1.0,0.0,82.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,8.0,2.0,75.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,46.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0
Mongolia,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Fiji,0.0,2.0,0.0,7.0,0.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,5.0,10.0,0.0,154.0,0.0,1423.0,1.0,0.0,4.0,9.0,7.0,7.0,0.0,26.0,0.0,32.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,14.0,9.0,2.0,6.0,8.0,0.0,0.0,0.0,9.0,25.0,0.0,6.0,2.0,0.0,0.0,581.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,8.0,2.0,3.0,80.0,11.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,16.0,20.0,5.0,0.0,0.0,75.0,1.0,0.0,10.0,14.0,26.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,63.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,12.0,15.0,0.0,1.0,0.0,1.0,14.0
Mauritius,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,77.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Indonesia,0.0,4.0,1.0,28.0,0.0,4.0,2.0,0.0,1.0,0.0,5.0,9.0,4.0,4.0,2.0,51.0,0.0,2318.0,0.0,0.0,22.0,23.0,79.0,9.0,2.0,54.0,0.0,8.0,0.0,0.0,1.0,0.0,29.0,5.0,0.0,6.0,0.0,29.0,9.0,0.0,4.0,8.0,2.0,13.0,34.0,42.0,23.0,10.0,41.0,11.0,1.0,0.0,128.0,4.0,0.0,0.0,8.0,0.0,10.0,38.0,0.0,0.0,2.0,2.0,30.0,39.0,5.0,28.0,80.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,27.0,41.0,128.0,0.0,8.0,3.0,1.0,0.0,21.0,38.0,13.0,11.0,13.0,1.0,6.0,1.0,0.0,19.0,0.0,8.0,0.0,10.0,24.0,1.0,2.0,19.0,0.0,3.0,0.0,0.0,82.0,0.0,17.0,5.0,0.0,0.0,0.0,2.0,26.0
Zambia,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
Afghanistan,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,135.0,0.0,8.0,18.0,348.0,0.0,0.0,5.0,1.0,18.0,36.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,18.0,0.0,0.0,4.0,6.0,21.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,141.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,11.0,162.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,3.0
Czechia,0.0,19.0,5.0,85.0,11.0,6.0,6.0,0.0,25.0,10.0,15.0,22.0,23.0,9.0,34.0,73.0,0.0,1439.0,9.0,2.0,175.0,73.0,39.0,3.0,0.0,83.0,5.0,103.0,9.0,0.0,47.0,9.0,89.0,4.0,0.0,7.0,8.0,172.0,44.0,5.0,32.0,23.0,12.0,1.0,63.0,92.0,92.0,7.0,107.0,69.0,7.0,1.0,365.0,16.0,1.0,1.0,19.0,9.0,14.0,14.0,15.0,0.0,32.0,8.0,63.0,41.0,7.0,144.0,39.0,5.0,1.0,1.0,5.0,12.0,4.0,4.0,58.0,57.0,31.0,1.0,32.0,64.0,13.0,7.0,53.0,13.0,46.0,106.0,71.0,1.0,9.0,12.0,0.0,26.0,13.0,40.0,2.0,84.0,34.0,8.0,19.0,32.0,6.0,4.0,17.0,1.0,59.0,0.0,97.0,46.0,4.0,25.0,0.0,26.0,28.0
Botswana,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kyrgyzstan,0.0,8.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,6.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0
Cyprus,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,288.0,1.0,0.0,5.0,0.0,13.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,20.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,14.0,0.0,26.0,11.0
Canada,0.0,46.0,2.0,368.0,9.0,18.0,4.0,1.0,47.0,4.0,10.0,5.0,48.0,27.0,4.0,145.0,0.0,5251.0,0.0,0.0,85.0,117.0,11.0,5.0,0.0,174.0,3.0,78.0,16.0,0.0,8.0,6.0,69.0,1.0,0.0,1.0,1.0,93.0,26.0,5.0,13.0,9.0,3.0,0.0,100.0,94.0,100.0,2.0,75.0,103.0,1.0,0.0,490.0,4.0,0.0,1.0,16.0,0.0,12.0,2.0,0.0,1.0,111.0,2.0,37.0,26.0,9.0,96.0,49.0,0.0,0.0,3.0,36.0,22.0,2.0,2.0,36.0,35.0,46.0,1.0,69.0,166.0,6.0,5.0,11.0,15.0,69.0,73.0,37.0,7.0,1.0,6.0,0.0,36.0,8.0,72.0,0.0,117.0,73.0,9.0,6.0,9.0,0.0,7.0,9.0,0.0,45.0,4.0,24.0,41.0,0.0,21.0,0.0,12.0,17.0
Congo,0.0,28.0,1.0,24.0,0.0,0.0,0.0,2.0,1.0,3.0,26.0,8.0,3.0,33.0,4.0,11.0,60.0,188.0,0.0,0.0,1.0,2.0,16.0,0.0,5.0,933.0,3.0,26.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,7.0,13.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,16.0,1.0,0.0,0.0,62.0,0.0,0.0,13.0,3.0,1.0,8.0,0.0,0.0,0.0,8.0,2.0,13.0,101.0,15.0,111.0,38.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,1.0,9.0,45.0,1.0,0.0,10.0,2.0,4.0,11.0,17.0,4.0,21.0,0.0,0.0,1.0,9.0,0.0,2.0,19.0,66.0,0.0,55.0,4.0,1.0,10.0,0.0,7.0,1.0,1.0,0.0,7.0,0.0,15.0,2.0,0.0,1.0,0.0,25.0,60.0
Guinea,0.0,1.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,137.0,0.0,0.0,0.0,2.0,2.0,2.0,33.0,272.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,1.0,0.0,7.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,23.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,9.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,8.0,0.0,1.0,0.0,9.0,0.0,12.0,0.0,1.0,0.0,1.0,10.0,2.0
Liberia,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,184.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,3.0
Mayotte,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Uzbekistan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,156.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
South Sudan,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,15.0,1.0,0.0,2.0,53.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,24.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,9.0,7.0,0.0,0.0,3.0,0.0
New Zealand,0.0,4.0,2.0,11.0,2.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,8.0,3.0,0.0,15.0,0.0,463.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,4.0,0.0,1.0,0.0,65.0,13.0,18.0,0.0,7.0,5.0,0.0,0.0,201.0,0.0,0.0,0.0,9.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,80.0,21.0,0.0,0.0,0.0,5.0,1.0,2.0,6.0,9.0,15.0,5.0,1.0,0.0,20.0,1.0,0.0,21.0,1.0,2.0,17.0,18.0,30.0,4.0,0.0,0.0,3.0,0.0,7.0,1.0,34.0,6.0,2.0,0.0,21.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,21.0,0.0,0.0,0.0,3.0,0.0
Bosnia and Herzegovina,0.0,1.0,0.0,3.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zimbabwe,0.0,4.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,191.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,5.0,218.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,26.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,12.0,21.0,1.0,0.0,0.0,3.0,0.0,6.0,3.0,2.0,0.0,1.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0
