,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Micronesia, Federated States of",0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Australia,0.0,8.0,4.0,103.0,3.0,20.0,4.0,15.0,13.0,4.0,21.0,22.0,133.0,4.0,15.0,100.0,0.0,2963.0,5.0,0.0,98.0,51.0,14.0,25.0,1.0,122.0,3.0,110.0,7.0,0.0,17.0,27.0,52.0,7.0,1.0,5.0,6.0,82.0,35.0,6.0,42.0,10.0,8.0,128.0,42.0,89.0,117.0,3.0,73.0,61.0,5.0,0.0,1128.0,123.0,1.0,1.0,25.0,0.0,32.0,21.0,2.0,0.0,5.0,0.0,30.0,41.0,0.0,168.0,73.0,2.0,0.0,32.0,12.0,20.0,2.0,8.0,45.0,29.0,27.0,24.0,26.0,174.0,2.0,2.0,30.0,16.0,31.0,111.0,25.0,5.0,5.0,6.0,0.0,12.0,3.0,21.0,0.0,214.0,21.0,23.0,5.0,40.0,8.0,10.0,5.0,1.0,42.0,3.0,60.0,35.0,1.0,8.0,0.0,8.0,43.0
Armenia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Korea, Republic of",0.0,2.0,0.0,77.0,0.0,10.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,16.0,0.0,9.0,1.0,866.0,2.0,1.0,52.0,19.0,4.0,2.0,0.0,24.0,1.0,34.0,4.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,3.0,6.0,0.0,14.0,35.0,28.0,6.0,12.0,9.0,1.0,0.0,104.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.0,86.0,2.0,7.0,0.0,1.0,1.0,5.0,0.0,18.0,8.0,19.0,1.0,1.0,2.0,14.0,2.0,2.0,17.0,1.0,14.0,7.0,5.0,0.0,1.0,9.0,0.0,15.0,0.0,3.0,0.0,15.0,2.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,135.0,2.0,0.0,1.0,0.0,0.0,6.0
Syrian Arab Republic,0.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,3.0,6.0,0.0,187.0,0.0,0.0,5.0,0.0,8.0,123.0,0.0,22.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,36.0,21.0,2.0,4.0,2.0,1.0,0.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,74.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,10.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,16.0,0.0,10.0,6.0,3.0,1.0,1.0,2.0,7.0
Israel,0.0,2.0,0.0,15.0,0.0,1.0,2.0,0.0,19.0,1.0,8.0,0.0,0.0,28.0,0.0,24.0,0.0,889.0,0.0,1.0,13.0,3.0,4.0,179.0,1.0,9.0,0.0,19.0,1.0,1.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,6.0,10.0,2.0,0.0,1.0,14.0,6.0,0.0,11.0,16.0,0.0,0.0,52.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,26.0,10.0,0.0,27.0,13.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,6.0,17.0,66.0,1.0,1.0,8.0,0.0,0.0,36.0,38.0,16.0,15.0,28.0,0.0,3.0,2.0,0.0,5.0,0.0,12.0,0.0,39.0,6.0,4.0,11.0,1.0,4.0,1.0,0.0,1.0,21.0,1.0,12.0,31.0,0.0,4.0,1.0,28.0,10.0
"Taiwan, Province of China",0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,10.0,0.0,5.0,0.0,94.0,0.0,1317.0,2.0,0.0,5.0,4.0,57.0,3.0,0.0,12.0,0.0,17.0,20.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,5.0,6.0,3.0,1.0,16.0,17.0,2.0,13.0,8.0,0.0,0.0,135.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,41.0,3.0,1.0,0.0,0.0,0.0,66.0,0.0,3.0,5.0,237.0,3.0,0.0,3.0,12.0,2.0,0.0,1.0,0.0,60.0,10.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,22.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,12.0,21.0,1.0,0.0,0.0,4.0,14.0
Kosovo,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,133.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Democratic People's Republic of",0.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0,0.0,13.0,0.0,356.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,1.0
Lithuania,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Slovakia,0.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,239.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0
Angola,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,148.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,40.0,8.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0
Mozambique,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,3.0,0.0,131.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,67.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
Burkina Faso,0.0,1.0,1.0,21.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,8.0,0.0,265.0,1.0,0.0,10.0,2.0,13.0,6.0,2.0,28.0,1.0,5.0,0.0,0.0,3.0,1.0,29.0,0.0,0.0,7.0,0.0,15.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,4.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,2.0,1.0,11.0,98.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,4.0,0.0,16.0,6.0,4.0,2.0,2.0,0.0,3.0,5.0,12.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,6.0
Mexico,0.0,2.0,2.0,272.0,2.0,29.0,27.0,0.0,2.0,23.0,43.0,24.0,7.0,23.0,9.0,45.0,0.0,2874.0,27.0,0.0,10.0,12.0,160.0,17.0,1.0,45.0,0.0,20.0,0.0,0.0,2.0,6.0,20.0,0.0,0.0,4.0,17.0,93.0,5.0,0.0,6.0,52.0,6.0,18.0,98.0,88.0,101.0,1.0,49.0,21.0,2.0,0.0,139.0,1.0,0.0,0.0,2.0,3.0,69.0,3.0,4.0,2.0,8.0,0.0,1.0,17.0,3.0,115.0,111.0,2.0,0.0,0.0,3.0,3.0,5.0,3.0,3.0,39.0,24.0,2.0,40.0,15.0,161.0,1.0,55.0,4.0,31.0,115.0,32.0,1.0,4.0,1.0,0.0,5.0,2.0,238.0,0.0,52.0,40.0,10.0,7.0,7.0,2.0,3.0,11.0,2.0,28.0,0.0,33.0,27.0,0.0,12.0,0.0,16.0,167.0
Austria,0.0,1.0,6.0,36.0,0.0,9.0,4.0,0.0,2.0,0.0,9.0,2.0,9.0,0.0,2.0,14.0,1.0,1059.0,1.0,1.0,8.0,4.0,2.0,42.0,0.0,17.0,3.0,20.0,4.0,0.0,5.0,1.0,29.0,1.0,0.0,0.0,0.0,9.0,21.0,3.0,43.0,4.0,2.0,0.0,31.0,29.0,57.0,3.0,26.0,31.0,0.0,0.0,112.0,0.0,0.0,1.0,3.0,1.0,5.0,3.0,6.0,0.0,29.0,0.0,13.0,6.0,0.0,42.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,27.0,10.0,12.0,0.0,8.0,1.0,6.0,0.0,3.0,9.0,8.0,21.0,27.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,21.0,12.0,1.0,2.0,2.0,5.0,3.0,4.0,0.0,10.0,0.0,4.0,15.0,0.0,5.0,0.0,1.0,24.0
Guinea-Bissau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,0.0,1.0,9.0,36.0,0.0,0.0,3.0,3.0,1.0,41.0,4.0,1.0,14.0,1.0,2.0,5.0,0.0,219.0,0.0,0.0,8.0,2.0,1.0,3.0,19.0,75.0,14.0,6.0,0.0,7.0,1.0,0.0,15.0,0.0,0.0,58.0,0.0,2.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,6.0,13.0,0.0,31.0,0.0,0.0,1.0,1.0,12.0,45.0,0.0,4.0,0.0,1.0,0.0,8.0,130.0,27.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,6.0,0.0,8.0,2.0,3.0,11.0,0.0,0.0,5.0,4.0,3.0,3.0,5.0,0.0,0.0,12.0,0.0,5.0,30.0,7.0,0.0,17.0,1.0,0.0,0.0,4.0,28.0,0.0,0.0,8.0,19.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0
Comoros,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,45.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,2.0
Saudi Arabia,0.0,1.0,0.0,9.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,41.0,2.0,27.0,0.0,939.0,0.0,0.0,5.0,4.0,9.0,82.0,1.0,11.0,1.0,157.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,122.0,17.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0,6.0,6.0,5.0,3.0,0.0,0.0,61.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,1.0,0.0,2.0,0.0,59.0,13.0,2.0,56.0,82.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,5.0,3.0,20.0,1.0,3.0,2.0,1.0,1.0,0.0,5.0,17.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,11.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,55.0,0.0,6.0,15.0,0.0,0.0,0.0,36.0,6.0
Pakistan,0.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0,0.0,199.0,3.0,22.0,18.0,546.0,0.0,0.0,5.0,1.0,653.0,34.0,0.0,72.0,2.0,19.0,1.0,1.0,1.0,0.0,19.0,1.0,0.0,2.0,0.0,33.0,22.0,0.0,4.0,4.0,2.0,0.0,21.0,20.0,27.0,1.0,3.0,4.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,17.0,17.0,5.0,0.0,1.0,1.0,0.0,3.0,442.0,0.0,270.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,14.0,466.0,2.0,5.0,14.0,2.0,0.0,8.0,1.0,11.0,8.0,8.0,0.0,43.0,1.0,0.0,6.0,0.0,3.0,0.0,16.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,450.0,3.0,9.0,2.0,0.0,12.0,30.0
Djibouti,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Singapore,0.0,1.0,1.0,30.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,2.0,0.0,31.0,0.0,940.0,2.0,0.0,146.0,3.0,141.0,5.0,0.0,37.0,0.0,42.0,0.0,0.0,6.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0,5.0,0.0,6.0,2.0,1.0,6.0,2.0,21.0,9.0,0.0,2.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,4.0,13.0,0.0,0.0,1.0,42.0,2.0,0.0,0.0,6.0,25.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,4.0,5.0,0.0,3.0,0.0,6.0,60.0
Greenland,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0
Cambodia,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,424.0,0.0,0.0,2.0,1.0,24.0,0.0,1.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,5.0,0.0,33.0,3.0,1.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
Sudan,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,18.0,20.0,3.0,3.0,97.0,0.0,0.0,0.0,0.0,34.0,55.0,0.0,640.0,0.0,44.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,46.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,156.0,49.0,53.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,25.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,17.0,3.0,8.0,0.0,18.0,20.0
Ireland,0.0,1.0,1.0,308.0,1.0,6.0,1.0,0.0,2.0,0.0,16.0,5.0,7.0,5.0,1.0,30.0,0.0,2001.0,0.0,2.0,22.0,9.0,3.0,0.0,0.0,29.0,1.0,32.0,4.0,0.0,2.0,0.0,54.0,2.0,0.0,0.0,2.0,85.0,4.0,8.0,22.0,0.0,0.0,1.0,22.0,26.0,83.0,0.0,24.0,14.0,0.0,0.0,306.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,39.0,0.0,7.0,9.0,3.0,41.0,64.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,8.0,2.0,19.0,0.0,7.0,36.0,0.0,0.0,12.0,3.0,49.0,64.0,66.0,1.0,0.0,9.0,0.0,5.0,2.0,10.0,0.0,57.0,5.0,3.0,2.0,10.0,1.0,0.0,1.0,0.0,20.0,0.0,20.0,4.0,0.0,0.0,0.0,2.0,8.0
Gambia,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,42.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0
