,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Ghana,2.0,0.0,5.0,21.0,0.0,3.0,1.0,11.0,3.0,2.0,6.0,37.0,2.0,17.0,1.0,20.0,0.0,699.0,0.0,1.0,7.0,5.0,65.0,0.0,4.0,185.0,2.0,24.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,19.0,13.0,32.0,12.0,0.0,3.0,17.0,3.0,1.0,5.0,54.0,16.0,2.0,15.0,12.0,10.0,1.0,29.0,1.0,0.0,35.0,0.0,2.0,18.0,0.0,0.0,0.0,2.0,0.0,18.0,117.0,118.0,89.0,10.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,12.0,4.0,51.0,0.0,25.0,10.0,0.0,0.0,9.0,6.0,13.0,27.0,7.0,0.0,9.0,23.0,0.0,4.0,8.0,8.0,1.0,8.0,6.0,2.0,9.0,5.0,6.0,1.0,1.0,1.0,26.0,1.0,74.0,11.0,0.0,0.0,1.0,76.0,84.0
"Korea, Republic of",1.0,1.0,0.0,83.0,0.0,7.0,0.0,0.0,3.0,0.0,2.0,3.0,5.0,8.0,0.0,10.0,0.0,1413.0,0.0,1.0,32.0,10.0,8.0,1.0,0.0,26.0,1.0,45.0,5.0,0.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,26.0,2.0,1.0,3.0,2.0,6.0,0.0,4.0,17.0,18.0,7.0,14.0,10.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,2.0,35.0,4.0,4.0,1.0,0.0,2.0,10.0,0.0,1.0,5.0,11.0,1.0,2.0,2.0,7.0,2.0,0.0,6.0,0.0,3.0,6.0,4.0,0.0,1.0,7.0,0.0,10.0,0.0,5.0,0.0,13.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,11.0
New Zealand,1.0,3.0,0.0,21.0,0.0,9.0,0.0,0.0,12.0,0.0,3.0,1.0,6.0,3.0,0.0,24.0,0.0,810.0,0.0,0.0,7.0,2.0,4.0,1.0,0.0,23.0,0.0,16.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,1.0,0.0,50.0,8.0,0.0,6.0,1.0,0.0,0.0,71.0,14.0,28.0,0.0,10.0,7.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,3.0,17.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,55.0,34.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,11.0,4.0,10.0,1.0,0.0,17.0,0.0,0.0,3.0,12.0,3.0,12.0,73.0,11.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,11.0,8.0,3.0,3.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,8.0,0.0,0.0,0.0,4.0,1.0
Brazil,1.0,9.0,7.0,236.0,11.0,59.0,32.0,0.0,4.0,44.0,56.0,288.0,16.0,21.0,3.0,103.0,0.0,6243.0,1.0,23.0,67.0,48.0,453.0,19.0,0.0,54.0,3.0,49.0,2.0,0.0,48.0,5.0,82.0,1.0,0.0,9.0,0.0,213.0,19.0,5.0,5.0,149.0,2.0,0.0,12.0,305.0,97.0,6.0,109.0,51.0,8.0,0.0,119.0,1.0,0.0,6.0,0.0,63.0,242.0,52.0,0.0,2.0,4.0,1.0,20.0,400.0,10.0,433.0,231.0,0.0,1.0,1.0,58.0,43.0,10.0,3.0,34.0,28.0,670.0,0.0,152.0,14.0,30.0,0.0,434.0,232.0,23.0,177.0,44.0,1.0,0.0,41.0,0.0,38.0,2.0,246.0,1.0,433.0,210.0,160.0,52.0,47.0,4.0,0.0,12.0,2.0,114.0,0.0,43.0,106.0,1.0,10.0,0.0,354.0,654.0
Dominican Republic,2.0,0.0,4.0,72.0,0.0,14.0,29.0,0.0,0.0,1.0,11.0,48.0,5.0,224.0,0.0,23.0,0.0,1333.0,0.0,0.0,0.0,20.0,115.0,46.0,0.0,9.0,1.0,1.0,2.0,0.0,3.0,0.0,10.0,0.0,0.0,3.0,0.0,72.0,1.0,1.0,1.0,47.0,4.0,0.0,38.0,88.0,24.0,2.0,7.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,31.0,66.0,0.0,0.0,0.0,0.0,2.0,44.0,0.0,103.0,17.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,6.0,9.0,108.0,0.0,11.0,6.0,1.0,0.0,61.0,81.0,3.0,34.0,10.0,0.0,2.0,3.0,0.0,11.0,0.0,59.0,0.0,24.0,18.0,1.0,28.0,5.0,0.0,5.0,3.0,1.0,28.0,0.0,4.0,35.0,0.0,1.0,0.0,34.0,71.0
Bulgaria,3.0,39.0,2.0,90.0,5.0,22.0,22.0,0.0,4.0,0.0,131.0,0.0,15.0,8.0,1.0,32.0,2.0,2081.0,5.0,0.0,5.0,7.0,1.0,11.0,0.0,27.0,3.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,29.0,62.0,7.0,0.0,15.0,11.0,1.0,0.0,1581.0,0.0,0.0,3.0,21.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,9.0,6.0,2.0,343.0,1.0,2.0,0.0,0.0,54.0,2.0,0.0,6.0,3.0,69.0,25.0,6.0,12.0,7.0,3.0,0.0,77.0,16.0,15.0,19.0,41.0,0.0,0.0,1.0,0.0,2.0,1.0,13.0,0.0,112.0,68.0,4.0,24.0,12.0,0.0,36.0,2.0,0.0,70.0,0.0,7.0,2.0,0.0,8.0,0.0,0.0,7.0
Norway,1.0,2.0,0.0,66.0,0.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,4.0,9.0,0.0,4.0,0.0,349.0,0.0,0.0,7.0,4.0,2.0,7.0,0.0,15.0,8.0,11.0,1.0,0.0,17.0,0.0,11.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,26.0,25.0,40.0,0.0,8.0,1.0,1.0,0.0,70.0,0.0,0.0,0.0,13.0,1.0,10.0,2.0,7.0,0.0,9.0,0.0,6.0,6.0,0.0,41.0,0.0,1.0,0.0,0.0,14.0,13.0,0.0,0.0,5.0,0.0,8.0,0.0,3.0,55.0,1.0,0.0,1.0,0.0,1.0,2.0,84.0,2.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,20.0,7.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,16.0,3.0,2.0,5.0,1.0,0.0,0.0,2.0,5.0
Colombia,1.0,2.0,3.0,103.0,3.0,14.0,35.0,0.0,0.0,9.0,12.0,19.0,0.0,4.0,1.0,14.0,0.0,924.0,0.0,0.0,7.0,3.0,61.0,9.0,0.0,23.0,1.0,19.0,8.0,0.0,8.0,8.0,18.0,0.0,0.0,1.0,0.0,52.0,3.0,2.0,0.0,16.0,4.0,0.0,25.0,54.0,16.0,0.0,24.0,11.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,3.0,46.0,0.0,43.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,22.0,13.0,1.0,26.0,0.0,6.0,0.0,22.0,22.0,5.0,44.0,13.0,1.0,2.0,2.0,0.0,5.0,0.0,108.0,0.0,15.0,8.0,1.0,3.0,10.0,4.0,0.0,1.0,2.0,29.0,3.0,13.0,13.0,0.0,1.0,0.0,38.0,51.0
Russian Federation,1.0,83.0,1.0,224.0,5.0,18.0,30.0,0.0,4.0,0.0,27.0,1.0,8.0,32.0,8.0,62.0,2.0,5438.0,0.0,1.0,63.0,6.0,8.0,141.0,2.0,205.0,4.0,78.0,10.0,16.0,4.0,0.0,31.0,0.0,0.0,0.0,29.0,136.0,18.0,2.0,15.0,4.0,10.0,20.0,21.0,48.0,102.0,3.0,21.0,8.0,0.0,0.0,501.0,3.0,0.0,0.0,4.0,0.0,9.0,19.0,4.0,0.0,33.0,0.0,36.0,25.0,26.0,259.0,32.0,2.0,1.0,0.0,11.0,11.0,0.0,5.0,22.0,52.0,55.0,2.0,40.0,19.0,7.0,0.0,30.0,8.0,85.0,58.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,38.0,0.0,191.0,54.0,5.0,2.0,6.0,0.0,10.0,0.0,2.0,96.0,14.0,34.0,32.0,0.0,7.0,2.0,10.0,28.0
Solomon Islands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,2.0,25.0,1.0,524.0,0.0,12.0,23.0,0.0,0.0,1.0,1.0,4.0,2.0,49.0,4.0,51.0,1.0,6319.0,0.0,6.0,80.0,2.0,6.0,166.0,18.0,145.0,4.0,29.0,5.0,0.0,5.0,1.0,17.0,1.0,0.0,0.0,2.0,68.0,7.0,0.0,4.0,8.0,12.0,0.0,22.0,42.0,165.0,2.0,8.0,6.0,1.0,0.0,133.0,0.0,0.0,1.0,2.0,0.0,7.0,5.0,3.0,0.0,2.0,0.0,5.0,67.0,5.0,320.0,7.0,5.0,2.0,0.0,15.0,4.0,2.0,10.0,0.0,7.0,51.0,0.0,55.0,19.0,5.0,0.0,9.0,16.0,14.0,17.0,17.0,1.0,1.0,3.0,0.0,2.0,7.0,59.0,0.0,19.0,26.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,104.0,0.0,19.0,9.0,0.0,4.0,0.0,6.0,36.0
Jordan,2.0,0.0,0.0,18.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,45.0,0.0,8.0,0.0,390.0,0.0,0.0,13.0,7.0,1.0,18.0,0.0,10.0,0.0,26.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,138.0,8.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,5.0,2.0,3.0,17.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,23.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,1.0,11.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,2.0,7.0,14.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,8.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,1.0
Cameroon,1.0,0.0,4.0,63.0,1.0,2.0,0.0,2.0,1.0,5.0,5.0,7.0,2.0,47.0,44.0,16.0,1.0,794.0,0.0,1.0,44.0,14.0,13.0,4.0,3.0,216.0,2.0,72.0,1.0,0.0,5.0,2.0,8.0,0.0,0.0,8.0,19.0,23.0,10.0,2.0,4.0,0.0,0.0,0.0,5.0,26.0,21.0,1.0,16.0,3.0,7.0,0.0,38.0,3.0,0.0,4.0,2.0,4.0,19.0,3.0,0.0,0.0,4.0,0.0,136.0,82.0,53.0,67.0,3.0,0.0,1.0,8.0,3.0,4.0,14.0,0.0,5.0,6.0,43.0,4.0,1.0,12.0,4.0,0.0,9.0,1.0,106.0,16.0,12.0,3.0,4.0,19.0,0.0,3.0,7.0,31.0,0.0,24.0,8.0,2.0,3.0,9.0,6.0,1.0,0.0,1.0,37.0,0.0,31.0,8.0,1.0,4.0,0.0,26.0,50.0
Poland,1.0,2.0,0.0,133.0,5.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,10.0,0.0,799.0,0.0,1.0,8.0,4.0,0.0,8.0,1.0,4.0,2.0,9.0,4.0,1.0,6.0,0.0,26.0,0.0,0.0,4.0,0.0,46.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,14.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,18.0,0.0,3.0,1.0,0.0,86.0,3.0,23.0,0.0,0.0,5.0,11.0,1.0,4.0,4.0,6.0,8.0,1.0,5.0,34.0,3.0,0.0,9.0,3.0,3.0,11.0,43.0,0.0,0.0,1.0,0.0,59.0,0.0,2.0,0.0,4.0,5.0,1.0,15.0,6.0,0.0,2.0,0.0,0.0,86.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0
New Caledonia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Singapore,8.0,2.0,1.0,53.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,29.0,0.0,994.0,0.0,0.0,148.0,1.0,32.0,5.0,0.0,26.0,0.0,28.0,1.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0,6.0,0.0,4.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,13.0,7.0,4.0,0.0,7.0,25.0,1.0,0.0,0.0,5.0,28.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0,1.0,0.0,11.0,26.0
Ecuador,1.0,0.0,2.0,201.0,2.0,5.0,6.0,0.0,4.0,12.0,2.0,21.0,0.0,2.0,0.0,8.0,0.0,487.0,0.0,0.0,1.0,0.0,19.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,8.0,6.0,2.0,14.0,2.0,4.0,0.0,14.0,8.0,0.0,8.0,5.0,0.0,2.0,2.0,0.0,24.0,0.0,100.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,23.0,1.0,0.0,0.0,0.0,17.0,48.0
Benin,1.0,0.0,1.0,10.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,85.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,28.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,8.0,0.0,0.0,0.0,12.0,2.0,0.0,11.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,32.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,20.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,28.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,11.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,5.0
Albania,0.0,49.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,1373.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,43.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,5.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,15.0
Canada,0.0,46.0,2.0,335.0,13.0,86.0,5.0,1.0,48.0,5.0,18.0,5.0,9.0,33.0,11.0,148.0,0.0,5899.0,0.0,0.0,76.0,129.0,7.0,7.0,0.0,162.0,8.0,89.0,8.0,0.0,7.0,3.0,51.0,0.0,0.0,0.0,1.0,67.0,32.0,4.0,5.0,13.0,2.0,0.0,15.0,104.0,153.0,2.0,91.0,81.0,2.0,0.0,474.0,1.0,0.0,1.0,21.0,0.0,17.0,2.0,3.0,0.0,65.0,0.0,39.0,23.0,8.0,97.0,61.0,2.0,0.0,0.0,25.0,21.0,2.0,15.0,33.0,26.0,59.0,1.0,22.0,287.0,9.0,0.0,11.0,11.0,57.0,81.0,37.0,7.0,1.0,3.0,0.0,48.0,8.0,77.0,1.0,225.0,32.0,14.0,4.0,18.0,0.0,6.0,7.0,0.0,34.0,5.0,24.0,32.0,0.0,10.0,0.0,13.0,22.0
Lithuania,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Slovakia,0.0,1.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,300.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,5.0,0.0,238.0,1.0,92.0,9.0,0.0,1.0,7.0,6.0,14.0,2.0,6.0,1.0,19.0,0.0,1526.0,0.0,1.0,7.0,15.0,52.0,17.0,0.0,16.0,15.0,5.0,0.0,0.0,1.0,2.0,17.0,1.0,0.0,6.0,0.0,16.0,3.0,2.0,2.0,10.0,62.0,1.0,32.0,31.0,13.0,5.0,18.0,3.0,0.0,0.0,61.0,0.0,0.0,0.0,5.0,4.0,29.0,7.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,18.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,28.0,13.0,0.0,10.0,12.0,5.0,0.0,18.0,4.0,6.0,32.0,3.0,1.0,9.0,4.0,0.0,4.0,0.0,76.0,0.0,42.0,25.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,10.0,38.0
Costa Rica,0.0,5.0,0.0,43.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,11.0,3.0,1.0,0.0,7.0,0.0,376.0,0.0,0.0,9.0,2.0,55.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,5.0,0.0,0.0,10.0,14.0,6.0,0.0,10.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,4.0,33.0,2.0,0.0,18.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,9.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,3.0,27.0
Botswana,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,74.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Iraq,0.0,4.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,258.0,0.0,0.0,2.0,0.0,1.0,118.0,0.0,22.0,0.0,24.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,39.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,16.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0
Kosovo,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Angola,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,8.0,2.0,2.0,1.0,158.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,88.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,19.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,13.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,17.0,0.0,10.0,1.0,0.0,0.0,0.0,11.0,8.0
