,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Taiwan, Province of China",0.0,1.0,0.0,290.0,0.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,61.0,0.0,1461.0,1.0,0.0,3.0,2.0,12.0,2.0,0.0,14.0,0.0,19.0,26.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,24.0,0.0,1.0,0.0,5.0,11.0,0.0,1.0,27.0,27.0,7.0,19.0,3.0,0.0,0.0,177.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,6.0,4.0,21.0,4.0,0.0,0.0,0.0,1.0,83.0,0.0,3.0,4.0,159.0,3.0,0.0,5.0,10.0,2.0,1.0,1.0,3.0,79.0,18.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,21.0,0.0,0.0,0.0,5.0,2.0
Falkland Islands (Malvinas),0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,103.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Mali,0.0,1.0,1.0,27.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,4.0,0.0,211.0,1.0,0.0,1.0,6.0,2.0,15.0,11.0,59.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,8.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,67.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0,2.0,7.0,0.0,0.0,0.0,10.0,9.0
Lebanon,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,4.0,4.0,0.0,463.0,0.0,0.0,1.0,5.0,0.0,244.0,0.0,11.0,0.0,82.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,124.0,39.0,2.0,7.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,21.0,9.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,18.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,34.0,3.0,0.0,0.0,6.0,5.0
"Bolivia, Plurinational State of",0.0,1.0,1.0,257.0,0.0,5.0,5.0,0.0,1.0,10.0,1.0,24.0,0.0,1.0,0.0,6.0,0.0,541.0,2.0,0.0,1.0,0.0,824.0,2.0,0.0,10.0,1.0,15.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,1.0,13.0,0.0,3.0,43.0,5.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,28.0,24.0,3.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,2.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,3.0,14.0,7.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,257.0,1.0,14.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,74.0
Nigeria,0.0,1.0,5.0,57.0,3.0,7.0,3.0,18.0,9.0,4.0,9.0,5.0,13.0,148.0,3.0,36.0,2.0,1345.0,0.0,0.0,23.0,11.0,7.0,175.0,8.0,295.0,5.0,51.0,3.0,2.0,2.0,0.0,24.0,3.0,0.0,45.0,1.0,67.0,10.0,2.0,11.0,4.0,15.0,0.0,14.0,59.0,25.0,3.0,19.0,3.0,25.0,0.0,44.0,0.0,0.0,231.0,9.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,13.0,235.0,21.0,170.0,18.0,3.0,0.0,0.0,6.0,5.0,47.0,4.0,10.0,16.0,127.0,1.0,23.0,18.0,9.0,0.0,22.0,5.0,196.0,53.0,10.0,0.0,3.0,53.0,0.0,5.0,17.0,25.0,0.0,5.0,5.0,1.0,6.0,8.0,10.0,3.0,2.0,2.0,54.0,0.0,140.0,26.0,0.0,2.0,0.0,52.0,16.0
Uzbekistan,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,53.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,126.0,0.0,1.0,2.0,686.0,0.0,0.0,1.0,0.0,3.0,105.0,0.0,8.0,0.0,82.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,59.0,5.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,10.0,4.0,33.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,11.0,1.0,0.0,5.0,0.0,0.0,4.0,13.0,4.0,35.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,17.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,0.0,1.0,28.0,2.0,2.0,0.0,5.0,1.0
Burundi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,7.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
El Salvador,0.0,0.0,2.0,30.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,6.0,1.0,3.0,0.0,6.0,0.0,332.0,0.0,0.0,46.0,2.0,40.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,6.0,0.0,0.0,3.0,14.0,0.0,0.0,35.0,1.0,4.0,0.0,15.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,1.0,1.0,3.0,1.0,0.0,20.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,12.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,32.0
Sao Tome and Principe,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
South Africa,0.0,0.0,1.0,130.0,4.0,1.0,7.0,0.0,2.0,3.0,1.0,3.0,3.0,75.0,9.0,31.0,2.0,1006.0,0.0,0.0,8.0,3.0,6.0,3.0,0.0,75.0,0.0,32.0,1.0,0.0,0.0,1.0,72.0,4.0,0.0,2.0,1.0,27.0,12.0,0.0,6.0,0.0,1.0,0.0,4.0,12.0,3.0,0.0,3.0,0.0,1.0,0.0,57.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,59.0,8.0,210.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,11.0,12.0,17.0,5.0,1.0,10.0,9.0,2.0,0.0,12.0,1.0,77.0,27.0,6.0,1.0,4.0,3.0,0.0,4.0,3.0,8.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,88.0,0.0,21.0,9.0,1.0,2.0,0.0,9.0,12.0
Eritrea,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
"Venezuela, Bolivarian Republic of",0.0,0.0,2.0,62.0,1.0,4.0,15.0,0.0,6.0,5.0,1.0,7.0,0.0,18.0,2.0,24.0,0.0,1136.0,0.0,0.0,9.0,3.0,30.0,57.0,0.0,30.0,0.0,25.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,10.0,1.0,0.0,13.0,28.0,19.0,0.0,13.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0,101.0,3.0,87.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,15.0,18.0,1.0,2.0,1.0,1.0,0.0,11.0,11.0,2.0,52.0,39.0,0.0,5.0,0.0,0.0,3.0,1.0,35.0,0.0,12.0,8.0,0.0,2.0,6.0,0.0,1.0,2.0,1.0,54.0,0.0,30.0,5.0,0.0,3.0,0.0,13.0,21.0
Guinea,0.0,0.0,1.0,29.0,0.0,0.0,1.0,5.0,0.0,7.0,1.0,2.0,2.0,3.0,0.0,10.0,0.0,148.0,0.0,0.0,0.0,3.0,3.0,8.0,161.0,659.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,54.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,9.0,0.0,6.0,19.0,1.0,0.0,0.0,1.0,0.0,3.0,31.0,139.0,47.0,3.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,2.0,20.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,37.0,0.0,0.0,29.0,10.0,0.0,1.0,2.0,2.0,4.0,1.0,17.0,0.0,1.0,1.0,14.0,0.0,28.0,2.0,3.0,0.0,1.0,31.0,2.0
Malaysia,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,1.0,0.0,1.0,2.0,0.0,347.0,0.0,0.0,1.0,4.0,71.0,2.0,0.0,10.0,0.0,12.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0,4.0,0.0,36.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,9.0,6.0,2.0,4.0,3.0,2.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,85.0,12.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,46.0,0.0,0.0,2.0,10.0,5.0,0.0,9.0,3.0,1.0,0.0,2.0,1.0,22.0,5.0,6.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,7.0,0.0,20.0,2.0,0.0,1.0,0.0,3.0,74.0
Equatorial Guinea,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,70.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,800.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,48.0,350.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,52.0,1.0,0.0,0.0,0.0,4.0,2.0
Jersey,0.0,0.0,0.0,22.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,17.0,0.0,400.0,0.0,2.0,15.0,4.0,2.0,0.0,0.0,47.0,0.0,16.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,9.0,0.0,1.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
Belgium,0.0,0.0,0.0,274.0,2.0,4.0,40.0,0.0,5.0,0.0,2.0,2.0,2.0,5.0,0.0,22.0,0.0,1333.0,0.0,2.0,19.0,15.0,7.0,31.0,0.0,34.0,9.0,13.0,6.0,0.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,25.0,10.0,3.0,2.0,1.0,3.0,0.0,4.0,22.0,20.0,0.0,9.0,5.0,0.0,0.0,127.0,1.0,0.0,2.0,7.0,1.0,8.0,1.0,2.0,0.0,4.0,0.0,3.0,14.0,52.0,24.0,5.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,8.0,7.0,12.0,0.0,4.0,41.0,1.0,0.0,20.0,4.0,67.0,8.0,83.0,0.0,5.0,0.0,0.0,6.0,9.0,71.0,0.0,11.0,4.0,4.0,1.0,28.0,1.0,2.0,0.0,0.0,31.0,0.0,2.0,3.0,1.0,1.0,0.0,5.0,6.0
Israel,0.0,0.0,0.0,35.0,0.0,2.0,5.0,0.0,21.0,1.0,3.0,4.0,15.0,33.0,0.0,21.0,0.0,1071.0,0.0,2.0,32.0,17.0,3.0,368.0,3.0,18.0,0.0,33.0,2.0,0.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,80.0,6.0,2.0,5.0,7.0,0.0,0.0,3.0,21.0,14.0,4.0,22.0,8.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,1.0,117.0,5.0,1.0,0.0,1.0,0.0,19.0,12.0,0.0,46.0,9.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,23.0,74.0,0.0,3.0,12.0,1.0,2.0,29.0,16.0,16.0,17.0,40.0,1.0,2.0,3.0,0.0,11.0,0.0,5.0,0.0,40.0,10.0,3.0,13.0,2.0,0.0,1.0,0.0,0.0,22.0,0.0,15.0,5.0,2.0,3.0,1.0,7.0,13.0
Dominica,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Saint Kitts and Nevis,0.0,0.0,0.0,39.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,55.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
"Moldova, Republic of",0.0,0.0,0.0,21.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,18.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0
Suriname,0.0,0.0,0.0,62.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lithuania,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
