,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Kenya,5.0,31.0,1.0,31.0,1.0,2.0,5.0,0.0,2.0,5.0,1.0,17.0,11.0,115.0,21.0,7.0,0.0,531.0,5.0,0.0,7.0,3.0,4.0,3.0,27.0,228.0,8.0,41.0,1.0,1.0,3.0,0.0,14.0,0.0,0.0,13.0,1.0,63.0,12.0,0.0,28.0,3.0,0.0,0.0,4.0,11.0,5.0,1.0,13.0,2.0,3.0,0.0,40.0,0.0,0.0,1.0,1.0,5.0,11.0,4.0,0.0,0.0,6.0,0.0,4.0,110.0,10.0,103.0,9.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,3.0,8.0,16.0,2.0,23.0,1.0,2.0,0.0,9.0,10.0,1.0,69.0,11.0,0.0,2.0,38.0,0.0,11.0,41.0,14.0,0.0,5.0,9.0,0.0,12.0,31.0,15.0,5.0,3.0,1.0,25.0,1.0,42.0,4.0,14.0,3.0,0.0,18.0,6.0
Turkey,1.0,21.0,3.0,232.0,3.0,20.0,1.0,0.0,5.0,1.0,30.0,3.0,8.0,293.0,1.0,41.0,6.0,1121.0,0.0,0.0,28.0,20.0,7.0,106.0,3.0,62.0,10.0,17.0,5.0,1.0,7.0,0.0,59.0,2.0,0.0,2.0,5.0,365.0,70.0,1.0,4.0,0.0,2.0,0.0,58.0,61.0,24.0,3.0,30.0,4.0,2.0,1.0,178.0,0.0,11.0,3.0,5.0,20.0,28.0,17.0,0.0,0.0,9.0,1.0,8.0,70.0,1.0,292.0,8.0,8.0,0.0,3.0,3.0,5.0,0.0,7.0,6.0,46.0,21.0,1.0,241.0,197.0,2.0,0.0,40.0,74.0,65.0,69.0,52.0,1.0,111.0,0.0,0.0,6.0,8.0,37.0,0.0,56.0,6.0,3.0,185.0,4.0,4.0,1.0,1.0,0.0,112.0,0.0,83.0,15.0,7.0,10.0,14.0,18.0,25.0
"Tanzania, United Republic of",1.0,4.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,1.0,6.0,0.0,134.0,0.0,0.0,9.0,2.0,1.0,3.0,0.0,95.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,7.0,2.0,1.0,2.0,0.0,28.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,1.0,63.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,4.0,3.0,3.0,0.0,3.0,0.0,4.0,1.0,2.0,10.0,7.0,0.0,1.0,13.0,0.0,17.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,14.0,5.0,0.0,0.0,0.0,4.0,6.0
"Korea, Republic of",1.0,3.0,0.0,100.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,8.0,0.0,10.0,0.0,1138.0,0.0,1.0,34.0,12.0,8.0,1.0,0.0,25.0,1.0,49.0,4.0,0.0,1.0,0.0,11.0,1.0,0.0,3.0,0.0,26.0,2.0,1.0,3.0,2.0,6.0,0.0,3.0,18.0,18.0,7.0,13.0,8.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,14.0,2.0,35.0,4.0,4.0,1.0,0.0,2.0,10.0,0.0,1.0,4.0,12.0,2.0,2.0,2.0,8.0,2.0,0.0,2.0,0.0,4.0,5.0,4.0,0.0,1.0,7.0,0.0,9.0,0.0,5.0,0.0,12.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,11.0
New Zealand,1.0,3.0,0.0,20.0,0.0,9.0,0.0,0.0,11.0,0.0,3.0,1.0,6.0,4.0,0.0,24.0,0.0,791.0,0.0,0.0,11.0,2.0,3.0,1.0,0.0,23.0,0.0,14.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,1.0,0.0,29.0,8.0,0.0,4.0,1.0,0.0,0.0,81.0,10.0,23.0,0.0,10.0,7.0,0.0,0.0,27.0,0.0,0.0,0.0,10.0,0.0,3.0,9.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,49.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,12.0,13.0,9.0,1.0,0.0,13.0,0.0,0.0,2.0,11.0,3.0,10.0,45.0,14.0,2.0,0.0,0.0,4.0,0.0,9.0,0.0,10.0,4.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,8.0,0.0,0.0,0.0,4.0,1.0
Brazil,1.0,8.0,7.0,224.0,11.0,61.0,31.0,0.0,4.0,42.0,58.0,274.0,17.0,20.0,3.0,98.0,0.0,6225.0,1.0,23.0,62.0,48.0,418.0,29.0,0.0,56.0,3.0,48.0,2.0,0.0,50.0,8.0,83.0,1.0,0.0,9.0,0.0,219.0,19.0,4.0,4.0,148.0,2.0,0.0,15.0,321.0,80.0,6.0,121.0,62.0,8.0,0.0,123.0,1.0,0.0,6.0,0.0,67.0,244.0,54.0,0.0,2.0,8.0,1.0,20.0,388.0,10.0,462.0,252.0,0.0,1.0,1.0,58.0,44.0,9.0,3.0,39.0,27.0,710.0,0.0,166.0,13.0,30.0,0.0,467.0,275.0,25.0,164.0,45.0,1.0,0.0,37.0,0.0,39.0,2.0,254.0,1.0,428.0,207.0,124.0,52.0,47.0,4.0,0.0,12.0,2.0,117.0,0.0,44.0,126.0,2.0,10.0,0.0,360.0,653.0
Dominican Republic,2.0,0.0,4.0,69.0,0.0,14.0,29.0,0.0,0.0,1.0,13.0,26.0,3.0,223.0,0.0,23.0,0.0,1343.0,0.0,0.0,0.0,20.0,113.0,41.0,0.0,9.0,1.0,2.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,70.0,1.0,1.0,0.0,48.0,4.0,0.0,36.0,89.0,23.0,2.0,13.0,7.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,35.0,51.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,100.0,24.0,1.0,0.0,0.0,0.0,5.0,2.0,10.0,6.0,8.0,115.0,0.0,12.0,4.0,1.0,0.0,64.0,95.0,3.0,30.0,10.0,1.0,3.0,3.0,0.0,11.0,0.0,59.0,0.0,29.0,14.0,1.0,29.0,5.0,0.0,5.0,12.0,1.0,27.0,0.0,4.0,48.0,0.0,1.0,0.0,49.0,63.0
Bulgaria,3.0,39.0,2.0,90.0,4.0,22.0,22.0,0.0,4.0,0.0,130.0,0.0,15.0,7.0,1.0,32.0,2.0,2006.0,6.0,0.0,5.0,7.0,1.0,13.0,0.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,42.0,61.0,7.0,0.0,14.0,11.0,0.0,0.0,1572.0,0.0,0.0,3.0,20.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,9.0,6.0,2.0,290.0,1.0,2.0,0.0,0.0,54.0,2.0,0.0,5.0,3.0,67.0,24.0,6.0,10.0,7.0,3.0,0.0,75.0,13.0,11.0,19.0,39.0,0.0,0.0,1.0,0.0,2.0,1.0,12.0,0.0,112.0,65.0,5.0,26.0,11.0,0.0,36.0,2.0,0.0,78.0,0.0,4.0,2.0,0.0,17.0,0.0,0.0,8.0
Colombia,1.0,2.0,3.0,95.0,3.0,14.0,38.0,0.0,0.0,8.0,10.0,18.0,0.0,4.0,1.0,14.0,0.0,952.0,0.0,0.0,7.0,3.0,56.0,7.0,0.0,25.0,1.0,19.0,10.0,0.0,8.0,8.0,16.0,0.0,0.0,1.0,0.0,42.0,3.0,2.0,0.0,15.0,4.0,0.0,26.0,48.0,17.0,0.0,23.0,10.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,3.0,12.0,10.0,0.0,0.0,4.0,0.0,3.0,46.0,0.0,44.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,22.0,13.0,1.0,26.0,0.0,6.0,0.0,22.0,21.0,5.0,43.0,14.0,1.0,2.0,2.0,0.0,4.0,0.0,127.0,0.0,15.0,7.0,1.0,3.0,12.0,4.0,0.0,0.0,2.0,32.0,3.0,14.0,12.0,0.0,1.0,0.0,39.0,57.0
Russian Federation,1.0,71.0,2.0,216.0,5.0,16.0,30.0,0.0,4.0,0.0,26.0,1.0,7.0,32.0,9.0,63.0,2.0,5397.0,0.0,1.0,65.0,6.0,7.0,148.0,2.0,198.0,7.0,81.0,8.0,18.0,4.0,0.0,31.0,1.0,0.0,0.0,30.0,131.0,16.0,2.0,15.0,4.0,12.0,20.0,52.0,47.0,98.0,3.0,25.0,9.0,0.0,0.0,511.0,3.0,0.0,0.0,4.0,0.0,10.0,17.0,4.0,0.0,35.0,0.0,37.0,26.0,27.0,213.0,32.0,2.0,1.0,0.0,13.0,11.0,0.0,4.0,23.0,52.0,50.0,2.0,45.0,19.0,7.0,0.0,46.0,12.0,86.0,61.0,6.0,0.0,4.0,1.0,0.0,6.0,1.0,43.0,0.0,190.0,60.0,4.0,2.0,6.0,0.0,15.0,0.0,2.0,100.0,15.0,36.0,32.0,0.0,10.0,2.0,10.0,24.0
Solomon Islands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,2.0,25.0,1.0,527.0,0.0,12.0,24.0,0.0,0.0,1.0,1.0,4.0,2.0,47.0,4.0,50.0,1.0,6526.0,0.0,6.0,81.0,3.0,6.0,163.0,18.0,152.0,4.0,30.0,5.0,0.0,5.0,1.0,9.0,1.0,0.0,0.0,2.0,67.0,7.0,0.0,6.0,8.0,11.0,0.0,43.0,44.0,163.0,2.0,10.0,6.0,1.0,0.0,139.0,0.0,0.0,1.0,2.0,0.0,7.0,5.0,2.0,0.0,2.0,0.0,5.0,71.0,5.0,335.0,7.0,5.0,2.0,0.0,13.0,4.0,2.0,10.0,0.0,7.0,72.0,0.0,59.0,18.0,5.0,0.0,9.0,18.0,15.0,17.0,18.0,1.0,1.0,3.0,0.0,2.0,7.0,59.0,0.0,23.0,27.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,107.0,0.0,15.0,9.0,0.0,6.0,0.0,8.0,36.0
Jordan,2.0,0.0,0.0,16.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,46.0,0.0,8.0,1.0,410.0,0.0,0.0,17.0,7.0,1.0,20.0,0.0,11.0,0.0,28.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,139.0,8.0,0.0,3.0,1.0,0.0,0.0,3.0,6.0,5.0,2.0,4.0,18.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,19.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,1.0,8.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,13.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,8.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,1.0
Cameroon,1.0,0.0,4.0,60.0,1.0,2.0,0.0,2.0,1.0,3.0,5.0,5.0,2.0,47.0,44.0,17.0,1.0,778.0,0.0,1.0,48.0,14.0,13.0,4.0,2.0,218.0,2.0,68.0,0.0,0.0,5.0,2.0,9.0,0.0,0.0,10.0,19.0,22.0,10.0,2.0,4.0,0.0,0.0,0.0,5.0,26.0,21.0,2.0,16.0,3.0,7.0,0.0,40.0,3.0,0.0,4.0,2.0,4.0,14.0,3.0,0.0,0.0,4.0,0.0,134.0,78.0,52.0,60.0,3.0,0.0,2.0,8.0,3.0,3.0,15.0,0.0,6.0,6.0,41.0,4.0,1.0,13.0,4.0,0.0,8.0,0.0,106.0,14.0,13.0,3.0,3.0,16.0,0.0,3.0,9.0,32.0,0.0,22.0,9.0,2.0,3.0,9.0,6.0,1.0,0.0,1.0,40.0,0.0,30.0,8.0,1.0,4.0,0.0,27.0,48.0
Poland,1.0,2.0,0.0,133.0,4.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,8.0,0.0,801.0,0.0,1.0,7.0,5.0,0.0,8.0,1.0,4.0,2.0,10.0,4.0,1.0,6.0,0.0,22.0,0.0,0.0,4.0,0.0,41.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,8.0,0.0,15.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,18.0,0.0,3.0,1.0,0.0,88.0,3.0,27.0,0.0,0.0,5.0,10.0,1.0,4.0,4.0,5.0,7.0,1.0,3.0,32.0,2.0,0.0,9.0,3.0,4.0,11.0,39.0,0.0,0.0,1.0,0.0,59.0,0.0,2.0,0.0,5.0,5.0,1.0,14.0,2.0,0.0,2.0,0.0,0.0,86.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0
New Caledonia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Singapore,8.0,2.0,1.0,53.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,27.0,0.0,1006.0,0.0,0.0,161.0,2.0,33.0,5.0,0.0,25.0,0.0,36.0,1.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,6.0,1.0,0.0,1.0,2.0,6.0,4.0,0.0,4.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,13.0,8.0,4.0,0.0,7.0,28.0,1.0,0.0,0.0,5.0,25.0,14.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0,1.0,0.0,11.0,28.0
Ecuador,1.0,0.0,2.0,180.0,2.0,5.0,8.0,0.0,3.0,12.0,1.0,1.0,0.0,2.0,0.0,7.0,0.0,488.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,25.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,8.0,6.0,2.0,14.0,2.0,4.0,0.0,15.0,8.0,0.0,8.0,5.0,0.0,2.0,2.0,0.0,24.0,0.0,94.0,0.0,19.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,24.0,1.0,0.0,0.0,0.0,9.0,24.0
Benin,1.0,0.0,1.0,11.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,85.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,26.0,1.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,0.0,8.0,0.0,0.0,0.0,12.0,2.0,0.0,11.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,30.0,3.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,24.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,32.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,10.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,1.0
Syrian Arab Republic,0.0,1.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1104.0,0.0,12.0,0.0,300.0,0.0,0.0,8.0,0.0,5.0,160.0,0.0,52.0,2.0,51.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,39.0,3.0,4.0,2.0,0.0,0.0,78.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,8.0,146.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,23.0,0.0,1.0,2.0,0.0,0.0,20.0,19.0,2.0,12.0,21.0,0.0,8.0,1.0,0.0,4.0,0.0,5.0,0.0,5.0,12.0,0.0,34.0,5.0,0.0,2.0,0.0,0.0,12.0,0.0,43.0,34.0,2.0,1.0,1.0,4.0,8.0
Israel,0.0,2.0,0.0,34.0,0.0,2.0,2.0,0.0,20.0,1.0,3.0,1.0,14.0,33.0,0.0,25.0,0.0,1100.0,0.0,3.0,34.0,8.0,3.0,365.0,3.0,20.0,0.0,27.0,1.0,0.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,80.0,7.0,1.0,6.0,11.0,0.0,0.0,3.0,20.0,14.0,3.0,23.0,8.0,0.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,117.0,5.0,1.0,0.0,1.0,0.0,28.0,12.0,0.0,49.0,13.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,26.0,81.0,0.0,3.0,10.0,1.0,1.0,42.0,33.0,16.0,15.0,49.0,1.0,2.0,2.0,0.0,11.0,0.0,10.0,0.0,36.0,9.0,4.0,13.0,2.0,0.0,1.0,0.0,1.0,21.0,0.0,15.0,30.0,2.0,4.0,1.0,23.0,11.0
Australia,0.0,13.0,2.0,102.0,6.0,56.0,1.0,21.0,37.0,6.0,10.0,11.0,131.0,5.0,13.0,142.0,0.0,5252.0,3.0,1.0,107.0,62.0,12.0,6.0,6.0,133.0,5.0,164.0,12.0,0.0,33.0,18.0,105.0,5.0,1.0,3.0,2.0,107.0,39.0,10.0,52.0,14.0,4.0,113.0,46.0,102.0,115.0,7.0,109.0,64.0,4.0,0.0,543.0,204.0,1.0,0.0,33.0,2.0,40.0,18.0,0.0,0.0,7.0,1.0,30.0,64.0,11.0,162.0,58.0,0.0,0.0,3.0,26.0,19.0,1.0,6.0,57.0,26.0,30.0,19.0,23.0,122.0,4.0,4.0,42.0,9.0,30.0,131.0,65.0,8.0,5.0,7.0,0.0,19.0,2.0,26.0,0.0,213.0,38.0,9.0,10.0,29.0,2.0,3.0,7.0,1.0,55.0,6.0,61.0,48.0,1.0,8.0,0.0,10.0,54.0
"Taiwan, Province of China",0.0,2.0,0.0,202.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,65.0,0.0,1475.0,2.0,0.0,3.0,2.0,52.0,2.0,0.0,14.0,0.0,17.0,27.0,0.0,3.0,0.0,17.0,0.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,5.0,11.0,1.0,0.0,27.0,24.0,6.0,19.0,4.0,0.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,5.0,21.0,4.0,0.0,0.0,0.0,1.0,83.0,0.0,3.0,4.0,172.0,3.0,0.0,3.0,11.0,2.0,1.0,1.0,3.0,68.0,15.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,23.0,0.0,0.0,0.0,5.0,2.0
Kosovo,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Czechia,0.0,14.0,4.0,279.0,15.0,25.0,8.0,1.0,40.0,13.0,23.0,26.0,26.0,14.0,44.0,91.0,1.0,2286.0,3.0,3.0,221.0,94.0,38.0,3.0,0.0,95.0,6.0,125.0,18.0,0.0,52.0,7.0,154.0,3.0,0.0,8.0,4.0,222.0,56.0,5.0,28.0,29.0,10.0,1.0,48.0,121.0,122.0,7.0,136.0,108.0,8.0,2.0,488.0,22.0,1.0,0.0,32.0,11.0,19.0,6.0,8.0,0.0,27.0,2.0,73.0,64.0,6.0,184.0,41.0,3.0,2.0,1.0,87.0,19.0,7.0,9.0,84.0,82.0,30.0,2.0,33.0,92.0,17.0,9.0,54.0,17.0,50.0,113.0,107.0,0.0,7.0,11.0,0.0,43.0,11.0,42.0,1.0,95.0,42.0,11.0,20.0,33.0,8.0,4.0,19.0,0.0,80.0,1.0,87.0,44.0,0.0,17.0,0.0,19.0,71.0
Kazakhstan,0.0,7.0,3.0,9.0,4.0,6.0,16.0,1.0,11.0,3.0,3.0,2.0,9.0,20.0,0.0,8.0,0.0,327.0,0.0,0.0,6.0,11.0,2.0,3.0,0.0,14.0,3.0,36.0,6.0,0.0,4.0,1.0,17.0,0.0,0.0,1.0,3.0,44.0,13.0,1.0,8.0,6.0,2.0,0.0,7.0,50.0,32.0,1.0,52.0,17.0,4.0,1.0,62.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,9.0,6.0,4.0,20.0,9.0,1.0,0.0,0.0,3.0,7.0,0.0,121.0,8.0,66.0,32.0,1.0,7.0,10.0,3.0,1.0,19.0,6.0,5.0,17.0,5.0,0.0,2.0,1.0,0.0,6.0,6.0,11.0,1.0,21.0,9.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,34.0,1.0,9.0,17.0,4.0,0.0,0.0,9.0,8.0
Uganda,0.0,9.0,4.0,12.0,6.0,0.0,4.0,1.0,0.0,3.0,1.0,10.0,0.0,33.0,19.0,20.0,11.0,338.0,0.0,0.0,1.0,0.0,12.0,15.0,2.0,5588.0,1.0,45.0,0.0,0.0,8.0,9.0,5.0,1.0,0.0,4.0,57.0,14.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,11.0,10.0,3.0,8.0,1.0,2.0,0.0,21.0,0.0,4.0,8.0,1.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,21.0,192.0,67.0,74.0,12.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,2.0,3.0,50.0,0.0,19.0,1.0,2.0,0.0,4.0,6.0,10.0,15.0,5.0,0.0,3.0,12.0,0.0,1.0,18.0,34.0,0.0,12.0,1.0,5.0,7.0,1.0,5.0,0.0,0.0,2.0,23.0,0.0,71.0,3.0,4.0,12.0,0.0,28.0,22.0
Azerbaijan,0.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,613.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,56.0,0.0,40.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,41.0,10.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,16.0
